題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,圖片檔案
1,下列何者是股直肌（rectus femoris）的近端附著點？,粗線（linea aspera）,大轉子（greater trochanter）,髂前上棘（anterior superior iliac spine）,髂前下棘（anterior inferior iliac spine）,D,髂前下棘（anterior inferior iliac spine）,無
2,梨狀肌（piriformis）、閉孔外肌（obturator externus）、閉孔內肌（obturator internus）、股方肌（quadratus femoris）；這些肌肉共同的動作為何？,外旋大腿,協助內旋大腿,內收大腿,伸展大腿,A,外旋大腿,無
3,下列何者不是由臂神經叢後索（posterior cord of brachial plexus）的分支所支配？,肩胛下肌（subscapularis）,小圓肌（teres minor）,大圓肌（teres major）,棘上肌（supraspinatus）,D,棘上肌（supraspinatus）,無
4,關於肱二頭肌（biceps brachii）的敘述，下列何者錯誤？,長頭近端附著於盂上結節（supraglenoid tubercle）,短頭近端附著於喙突（coracoid process）,主要動作為手肘彎曲,受到橈神經（radial nerve）控制,D,受到橈神經（radial nerve）控制,無
5,下列何者為一端肋骨頭連接脊椎，另一端游離之肋骨名稱？,真肋,胸骨肋,浮肋,椎骨肋,C,浮肋,無
6,下列何者被矢狀縫合（sagittal suture）分隔？,枕骨和頂骨（occipital bone and parietal bone）,額骨和頂骨（frontal bone and parietal bone）,顳骨和頂骨（temporal bone and parietal bone）,頂骨和頂骨（parietal bone and parietal bone）,D,頂骨和頂骨（parietal bone and parietal bone）,無
7,坐椅子時，下列何者在坐直的姿勢下會直接接觸椅面？,髂骨（ilium）,恥骨（pubis）,腰椎（lumbar vertebra）,坐骨（ischium）,D,坐骨（ischium）,無
8,關於骨外膜（periosteum）的敘述，下列何者正確？,包覆骨骼及軟骨,有三層,深層具有成骨細胞（osteoblast）,沒有神經與血管,C,深層具有成骨細胞（osteoblast）,無
9,舌頭的外在肌群（extrinsic muscles）主要負責的動作，不包括下列何者？,舌頭前引（protraction）,舌頭後縮（retraction）,舌頭下壓（depression）,捲舌（rolling the tongue）,D,捲舌（rolling the tongue）,無
10,下列何者與穩定肘關節較無直接關係？,環韌帶（anular ligament）,橈骨（radius）,橈側副韌帶（radial collateral ligament）,肱三頭肌的肌腱（tendon of triceps brachii）,B,橈骨（radius）,無
11,下列何者接受臀下神經（inferior gluteal nerve）的支配？,闊筋膜張肌（tensor fasciae latae）,臀大肌（gluteus maximus）,臀小肌（gluteus minimus）,臀中肌（gluteus medius）,B,臀大肌（gluteus maximus）,無
12,關於交感神經系統與副交感神經系統的敘述，下列何者錯誤？,交感神經節通常位於脊柱旁；副交感神經節則靠近支配的臟器,交感神經節前纖維軸突分支極少；副交感神經節前纖維軸突分支眾多,交感神經節後纖維分泌去甲基腎上腺素（norepinephrine）；副交感神經節後纖維分泌乙醯膽鹼（acetylcholine）,只有交感神經纖維有灰、白交通枝（communicating branch）,B,交感神經節前纖維軸突分支極少；副交感神經節前纖維軸突分支眾多,無
13,下列那一條神經的功能分類與其它不同？,最小內臟神經（least splanchnic nerve）,胸內臟神經（thoracic splanchnic nerve）,腰內臟神經（lumbar splanchnic nerve）,骨盆內臟神經（pelvic splanchnic nerve）,D,骨盆內臟神經（pelvic splanchnic nerve）,無
14,下列那一條腦神經的節前神經纖維與節後神經元在耳神經節（otic ganglion）內形成突觸，並支配腮腺（parotid gland）？,迷走神經（vagus nerve）,三叉神經（trigeminal nerve）,顏面神經（facial nerve）,舌咽神經（glossopharyngeal nerve）,D,舌咽神經（glossopharyngeal nerve）,無
15,支配大部分腺體分泌的神經屬於那種類型？,體感覺（somatic sensory）,臟器感覺（visceral sensory）,體運動（somatic motor）,臟器運動（visceral motor）,D,臟器運動（visceral motor）,無
16,下列何者為運動傳遞路徑？,頂蓋脊髓束（tectospinal tract）,楔束（fasciculus cuneatus）,薄束（fasciculus gracilis）,脊髓視丘束（spinothalamic tract）,A,頂蓋脊髓束（tectospinal tract）,無
17,第三及第四腳趾無法內收（adduction），最可能由下列何者損傷所造成？,腓淺神經（superficial fibular nerve）,腓深神經（deep fibular nerve）,股神經（femoral nerve）,脛神經（tibial nerve）,D,脛神經（tibial nerve）,無
18,脊髓上的齒狀韌帶（denticulate ligament）是由下列何者構成？,硬脊膜（dura mater）,蛛網膜（arachnoid mater）,軟腦膜（pia mater）,脈絡叢（choroid plexus）,C,軟腦膜（pia mater）,無
19,下列何者與延髓（medulla oblongata）最不相關？,舌咽神經（glossopharyngeal nerve）,迷走神經（vagus nerve）,滑車神經（trochlear nerve）,舌下神經（hypoglossal nerve）,C,滑車神經（trochlear nerve）,無
20,中腦（midbrain）中那個核區的細胞本體中含有黑色素（melanin pigment）？,黑質（substantia nigra）,紅核（red nucleus）,上小腦腳（superior cerebellar peduncle）,大腦腳（cerebral peduncle）,A,黑質（substantia nigra）,無
21,下列何者支配部分唾液腺（salivary gland），並負責舌後方味覺？,動眼神經（oculomotor nerve）,三叉神經（trigeminal nerve）,舌咽神經（glossopharyngeal nerve）,迷走神經（vagus nerve）,C,舌咽神經（glossopharyngeal nerve）,無
22,面神經（facial nerve）由下列何處離開顱骨，進入顏面部？,內耳道（internal acoustic meatus）,頦孔（mental foramen）,莖乳孔（stylomastoid foramen）,圓孔（foramen rotundum）,C,莖乳孔（stylomastoid foramen）,無
23,下列何處無味蕾（taste bud）分布？,鼻黏膜（nasal mucosa）,舌（tongue）,腭（palate）,咽（pharynx）,A,鼻黏膜（nasal mucosa）,無
24,下列何者可偵測頭部的旋轉加速運動（rotational acceleration）？,斑（macula）,壺腹嵴（crista ampullaris）,Corti氏螺旋器（spiral organ of Corti）,耳蝸（cochlea）,B,壺腹嵴（crista ampullaris）,無
25,關於晶狀體（lens）的敘述，下列何者錯誤？,無血管,晶狀體纖維（lens fiber）隨年齡增長而稀疏,形狀為雙凸盤（biconvex disc）,由睫狀小帶（ciliary zonule）固定其位置,B,晶狀體纖維（lens fiber）隨年齡增長而稀疏,無
26,淚腺（lacrimal gland）位於下列何處？,眼球上顳側眼眶,眼球下顳側眼眶,眼球上鼻側眼眶,眼球下鼻側眼眶,A,眼球上顳側眼眶,無
27,關於心臟節律點（pacemaker）的敘述，下列何者正確？,竇房結（sinoatrial node）位於左心房壁,竇房結（sinoatrial node）位於右心房壁,房室節（atrioventricular node）位於房間隔（interatrial septum）下方,房室節（atrioventricular node）位於上腔靜脈壁,B,竇房結（sinoatrial node）位於右心房壁,無
28,能同時將充氧血送到左心房壁及左心室壁後半部的主要血管為何？,邊緣動脈（marginal artery）,迴旋動脈（circumflex artery）,前室間動脈（anterior interventricular artery）,後室間動脈（posterior interventricular artery）,B,迴旋動脈（circumflex artery）,無
29,正常生理狀況下，下列何種白血球所占的百分比最少？,淋巴球（lymphocyte）,嗜中性白血球（neutrophil）,嗜酸性白血球（eosinophil）,嗜鹼性白血球（basophil）,D,嗜鹼性白血球（basophil）,無
30,下列何血管之血液不流入肝門靜脈（hepatic portal vein）？,胃靜脈（gastric vein）,腎靜脈（renal vein）,上腸繫膜靜脈（superior mesenteric vein）,下腸繫膜靜脈（inferior mesenteric vein）,B,腎靜脈（renal vein）,無
31,下列何者不是頸內動脈（internal carotid artery）的分支？,大腦前動脈（anterior cerebral artery）,大腦中動脈（middle cerebral artery）,大腦後動脈（posterior cerebral artery）,眼動脈（ophthalmic artery）,C,大腦後動脈（posterior cerebral artery）,無
32,下列何者與足背動脈（dorsalis pedis artery）伴行？,脛神經（tibial nerve）,腓深神經（deep fibular nerve）,腓淺神經（superficial fibular nerve）,足底內側神經（medial plantar nerve）,B,腓深神經（deep fibular nerve）,無
33,垂體腺性部（adenohypophysis) 又稱為腦下腺前葉（anterior lobe），可分泌下列何者？,生長激素（growth hormone）,抗利尿激素（antidiuretic hormone）,催產激素（oxytocin）,褪黑激素（melatonin）,A,生長激素（growth hormone）,無
34,關於副甲狀腺（parathyroid gland）的敘述，下列何者錯誤？,通常有四個,通常位於甲狀腺的後方,其嗜酸細胞（oxyphil cell）可分泌副甲狀腺素,副甲狀腺素可配合維生素D進行鈣離子調控,C,其嗜酸細胞（oxyphil cell）可分泌副甲狀腺素,無
35,盲腸（cecum）位於腹腔的下列那一個象限？,右腰區（right lumbar region）,左腰區（left lumbar region）,上腹區（epigastric region）,右髂區（right iliac region）,D,右髂區（right iliac region）,無
36,關於小腸（small intestine）的敘述，下列何者錯誤？,解剖位置來看，小腸環（coils of intestine）的前上方有十二指腸,迴腸（ileum）與空腸（jejunum）可由顏色大略區分,小腸的腸繫膜內有上腸繫膜動脈（superior mesenteric artery）的分支,腸繫膜的根部（root of mesentery）跨越十二指腸,A,解剖位置來看，小腸環（coils of intestine）的前上方有十二指腸,無
37,外尿道括約肌（external urethral sphincter）位於下列何處？,在外尿道口（external urethral orifice）,在膀胱壁和尿道的交界處,在輸尿管口處（uretic orifice）,在泌尿生殖隔膜（urogenital diaphragm）,D,在泌尿生殖隔膜（urogenital diaphragm）,無
38,下列何者位於腎柱（renal column）內？,皮質輻射動脈（cortical radiate artery）,節動脈（segmental artery）,弓形動脈（arcuate artery）,葉間動脈（interlobar artery）,D,葉間動脈（interlobar artery）,無
39,下列何者儲存精子並使其成熟具有活動力？,輸精管（ductus deferens）,副睪（epididymis）,精囊（seminal vesicle）,前列腺（prostate）,B,副睪（epididymis）,無
40,卵子生成作用（oogenesis）之第一次減數分裂完成於下列何階段？,將排卵時,受精,初級濾泡期,次級濾泡期,A,將排卵時,無
41,平滑肌收縮時，鈣離子會結合到下列何種蛋白？,肌動蛋白（actin）,肌鈣蛋白（troponin）,原肌凝蛋白（tropomyosin）,鈣調蛋白（calmodulin）,D,鈣調蛋白（calmodulin）,無
42,有關有氧肌與無氧肌容易疲乏程度的敘述，下列何者正確？,有氧肌與無氧肌容易疲乏的程度一樣,有氧肌比較容易疲乏,無氧肌比較容易疲乏,兩者皆不會出現疲乏現象,C,無氧肌比較容易疲乏,無
43,骨骼肌從正常放鬆狀態下做等長收縮，所產生的張力約為該肌肉之下列何者？,最小等長收縮張力,最大等長收縮張力的1/4,最大等長收縮張力的3/4,最大等長收縮張力,D,最大等長收縮張力,無
44,下列何種細胞有多個細胞核？,骨骼肌,平滑肌,運動神經元,紅血球,A,骨骼肌,無
45,在心舒期（diastole）聽到心雜音（murmur）可能是什麼原因？,主動脈瓣狹窄,肺動脈瓣狹窄,房室瓣閉鎖不全,房室瓣狹窄,D,房室瓣狹窄,無
46,引起自主呼吸的呼吸控制發動器（respiratory control pattern generator）位於：,延腦（medulla oblongata）,小腦（cerebellum）,大腦（cerebrum）,下視丘（hypothalamus）,A,延腦（medulla oblongata）,無
