題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,原始答案,更正備註,圖片檔案
1,當治療師在示範組裝一個玩具時，一面說：「這樣好像不對，是哪裡做錯了？」一面檢查作品；接著又說：「嗯！這裡好像怪怪的。」根據促進學習的四象限模式，治療師這樣做的目的主要是什麼？,促使孩童產生動作,讓孩童知道任務的目標,讓孩童知道哪裡做錯了,示範如何進行高階認知程序,D,示範如何進行高階認知程序,D,,無
2,職能治療師所使用的參考架構，其基本要素包括那些部分？①理論基礎；②診斷分類；③功能／失能連續體；④功能與功能障礙指標；⑤評估；⑥關於改變的假說；⑦實務應用,僅①②③④⑤⑥,①②③④⑤⑥⑦,僅①③④⑤⑥⑦,僅①③④⑥⑦,C,僅①③④⑤⑥⑦,C,,無
3,關於參考架構中理論基礎的定義（definitions）與假說（postulates），下列敘述何者正確？,假說是用來陳述理論中的一個主要概念,根據Mosey所提的定義分類，循環定義（circular definition）是最能解釋理論概念的定義形式,假設（hypothesis）是用來檢驗理論的一種特定的假說，通常是可觀察且可測量的,功能定義（functional definition）是可測量且能以某種方式來量化或質化,C,假設（hypothesis）是用來檢驗理論的一種特定的假說，通常是可觀察且可測量的,C,,無
4,對於有焦慮與憂鬱的學齡兒童，職能治療師使用活動與職能來介入的敘述，下列何者正確？,要讓兒童沿著意志連續體（volitional continuum），從探索、到成就、到能力階段依序提供介入,職能治療的介入要讓兒童在學校中的特定教室進行活動,有焦慮與憂鬱症狀的兒童完全無法展現所有學校相關職能上的能力,初次呈現的活動可設計能引起高度興趣但低度個人意義的分級挑戰活動,D,初次呈現的活動可設計能引起高度興趣但低度個人意義的分級挑戰活動,D,,無
5,當兒童在小組活動中需要參與多種角色來達成一個共同目標，這是觀察兒童社會參與的那一種互動形式？,平行互動,聯合互動,支持式合作互動,成熟互動,D,成熟互動,D,,無
6,從使用實證基礎實務指引的建議所得到的好處，不包括下列何者？,能照著建議直接複製應用在各種臨床個案中,能呈現目前經過評析與評估過的研究綜合結果,根據研究的嚴謹性對建議進行評分，納入對現有證據的評估,代表專家們的共識,A,能照著建議直接複製應用在各種臨床個案中,A,,無
7,有關坐姿骨盆束帶的敘述，下列何者錯誤？,骨盆束帶通常是從椅面及椅背的交接處伸出來，與臀部成60～90度,"對於骨盆控制良好的孩童，骨盆束帶從椅面成90度伸出並與地面垂直，繞於前上髂嵴（anterior superior iliac spine, ASIS）下",對於骨盆有正中排列但無法維持者，骨盆束帶應綁在前上髂嵴上，並以與地面平行的方式固定於椅背,對於骨盆容易旋轉或歪斜者，可以使用四點固定且加襯墊的骨盆束帶,C,對於骨盆有正中排列但無法維持者，骨盆束帶應綁在前上髂嵴上，並以與地面平行的方式固定於椅背,C,,無
8,當孩童了解任務需求，但無法產生一個有效的計畫來執行任務時，根據促進學習的四象限模式，最適合使用第幾象限的策略來引導孩童自主執行職能任務？,一,二,三,四,B,二,B,,無
9,根據動作技巧獲得參考架構，有關回饋的給予，下列敘述何者錯誤？,回饋應該針對動作的目標給予,對於年紀較小的孩童，回饋內容應該較為簡短明確,動作學習初期，手部引導的回饋方式最好、最直接,當孩童執行完動作任務後，治療師應等個幾秒再給予孩童回饋,C,動作學習初期，手部引導的回饋方式最好、最直接,C,,無
10,關於治療師與兒童之間的治療關係，下列敘述何者錯誤？,需要治療師與兒童同等的參與（equal participation）,治療師無條件地接納孩童及其能力是治療關係重要的面向,治療關係是一種建立於感受與互動的情緒經驗,要將兒童視為完整的個體來對待，而不是職能表現領域的部分要素或面向,A,需要治療師與兒童同等的參與（equal participation）,A,,無
11,下列有關最佳挑戰點理論（Theory of Optimal Challenge Point）的內容，何者錯誤？,對於類別性困難度（nominal difficulty）低的任務，隨機練習（random practice）比區段練習（blocked practice）更能幫助有經驗的學習者保留學習效果,在較多情境干擾的情況下練習，會增加一個任務的類別性困難度（nominal difficulty）,最佳挑戰點是要讓孩童能對一個特定的動作技巧有最好的學習所需要任務困難度,能夠達到成功的任務表現取決於孩童的技巧程度及任務的類別性困難度（nominal difficulty）,B,在較多情境干擾的情況下練習，會增加一個任務的類別性困難度（nominal difficulty）,B,,無
12,有關發展書寫技巧的參考架構中，下列何者不是其功能與功能障礙指標？,抓握,在圖畫活動中使用符號,書寫可讀性,書寫時坐姿的維持,D,書寫時坐姿的維持,D,,無
13,根據生物力學參考架構，有關坐姿擺位，下列何者錯誤？,對於大腿後側肌（hamstring）過緊的個案，可以將椅背後傾一點,對於低張的孩童來說，可以增加椅背後傾角度，增加本體覺的輸入,對於伸肌張力過高的小孩，可以減少椅背及椅面的角度到80～90度,坐姿下髖關節角度一般維持在95～100度,B,對於低張的孩童來說，可以增加椅背後傾角度，增加本體覺的輸入,B,,無
14,有關於肌肉張力的敘述，下列何者錯誤？,腰椎後凸（kyphosis）是肌肉張力過低的孩童常見的坐姿代償方式,徐動型腦麻孩童肌肉張力浮動的表現是中間角度（midranges）的控制很有限,接近體溫的溫度可以促進肌肉張力下降，肌肉張力放鬆,情緒波動大與動作速度大都會使肌肉張力升高,A,腰椎後凸（kyphosis）是肌肉張力過低的孩童常見的坐姿代償方式,A,,無
15,為了熟悉並了解參考架構，新手治療師應先從那一種應用方法做起？,單一參考架構,依序使用參考架構,平行使用參考架構,合併使用參考架構,A,單一參考架構,A,,無
16,根據自閉症者的優勢本位參考架構，下列何者是自閉症孩童發展自主的指標？,基於自己的興趣選擇目標,找出自己的優點,聽從大人的指示或安排,感覺自己有被尊重,A,基於自己的興趣選擇目標,A,,無
17,下列何者不屬於職能治療的正規工具（legitimate tools）？,意識的運用自我（conscious use of self）,批判性推理（critical reasoning）,徒手操作（handling）,教與學的過程（teaching-learning process）,ABCD,意識的運用自我（conscious use of self）；批判性推理（critical reasoning）；徒手操作（handling）；教與學的過程（teaching-learning process）,C,第17題一律給分，第57題一律給分，第66題一律給分,無
18,關於感覺系統的敘述，下列何者錯誤？,"體感覺之背柱內側縱走束（dorsal column medial lemniscal pathway, DCML pathway）負責傳遞觸覺、本體覺、觸壓覺及身體的震動覺",自由神經末端（free nerve endings）負責察知身體的痛覺、溫度覺及粗略的觸覺,耳蝸中柯蒂氏器（the organ of corti）的毛細胞負責察知頭部的線性與旋轉動作,視網膜上的桿細胞（rod cell）負責察知夜間的視覺與光線,C,耳蝸中柯蒂氏器（the organ of corti）的毛細胞負責察知頭部的線性與旋轉動作,C,,無
19,職能治療師進行寫字介入時，提供合適的坐椅與握筆器，以提升孩童寫字姿勢的正確性，增加握筆能力，此種介入最符合下列那一種模式？,動作學習介入模式,感覺動作介入模式,生物力學介入模式,認知介入模式,C,生物力學介入模式,C,,無
20,根據Dunn對「感覺處理（sensory processing）」所提出的概念模式，下列敘述何者正確？,對感覺輸入的敏感度閾值低者可能會出現反應不足的行為（hypo-responsive behaviors），如：昏昏欲睡,對感覺輸入的敏感度閾值高者可能會出現感覺尋求（sensory seeking）行為以代償其敏感度不足,對感覺輸入的敏感度閾值低者可能會以低登錄（low registration）方式代償其敏感度過高,對感覺輸入的敏感度閾值高者會以感覺逃避（sensory avoiding）來反應,B,對感覺輸入的敏感度閾值高者可能會出現感覺尋求（sensory seeking）行為以代償其敏感度不足,B,,無
21,"有關兒童侷限誘發動作療法（constraint-induced movement therapy, CIMT）和手－臂雙側密集療法（Hand-Arm Bimanual Intensive Therapy, HABIT）的治療原則，下列何者最不適當？",CIMT結合任務導向訓練手法（task-oriented training approaches），強調重複及大量練習特定動作活動,HABIT應用雙側手活動（bimanual activities），強調區段練習（blocked practice）以達到功能性目標,CIMT藉由侷限健側手和動作塑造（shaping）技巧，提供至少大於30小時的訓練時間促進患側手功能,HABIT根據個別孩童能力調整任務難度，提供至少大於60小時以上的訓練時間可讓神經產生改變,B,HABIT應用雙側手活動（bimanual activities），強調區段練習（blocked practice）以達到功能性目標,B,,無
22,"下列何者非認知導向日常職能表現（Cognitive Orientation to daily Occupational Performance, CO-OP）介入的七大特色之一？",個案選定目標,家長／照顧者參與,動態表現分析,過程監控,D,過程監控,D,,無
23,有關職能治療師協助兒童學習從杯子喝水的介入策略，下列敘述何者正確？,對於神經肌肉損傷（neuromuscular impairments）兒童，採用杯蓋有防漏閥（nonspill valves）的杯子可降低難度,若兒童有伸直姿態（extensor posturing）和較差的頭部控制能力，可學習先從鴨嘴杯（spouted cup）喝水以降低難度,若採用剪口杯（cut-out cup），或許能降低兒童喝水時頭頸的伸張（extension）角度，讓治療師較易觀察動作,當兒童從開口杯（open cup）喝水時，應採用半躺姿勢，藉由重力作用協助將液體滑入咽腔（pharyngeal space）,C,若採用剪口杯（cut-out cup），或許能降低兒童喝水時頭頸的伸張（extension）角度，讓治療師較易觀察動作,C,,無
24,下列那些吞嚥階段會隨年紀變化，從反射轉為由意識控制？①口腔預備階段（oral preparatory phase） ②口腔階段（oral phase） ③咽喉（pharyngeal phase） ④食道階段（esophageal phase）,①④,①②,②③,③④,B,①②,B,,無
25,"職能治療師處理兒童行為問題，介入方式分為前因介入（antecedent intervention, AI），及後果介入（consequence intervention, CI）兩大類，下列何者屬於CI？",特殊環境調整（specific environmental modifications）,正向行為支持（positive behavior support）,偶發事件處理（contingency methods）,功能性溝通訓練（functional communication training）,C,偶發事件處理（contingency methods）,C,,無
26,"關於認知導向日常職能表現（Cognitive Orientation to daily Occupational Performance, CO- OP）介入，何者錯誤？",以孩童為中心,職能表現為基礎,強調社交技巧,促進成功參與日常生活活動為目標,C,強調社交技巧,C,,無
27,"強調前庭－眼－頸（vestibulo-oculo-cervical, VOC）功能性概念，以提供可忍受的旋轉活動開始，繼以眼球運動來改善眼球動作、頭頸姿勢動作，進而改善功能性表現的治療方式為：",眼球動作控制（oculomotor control）,水療（water-based intervention）,脊髓筋膜放鬆法（craniosacral therapy and myofascial release）,視知覺訓練（visual perception training）,A,眼球動作控制（oculomotor control）,A,,無
28,對於口腔感覺不敏感的孩童，可以藉由某些食物的特性，來提高孩童的口腔感覺，下列那一種食物最無法提升孩童的口腔感覺？,檸檬汁,冰汽水,薑湯,清湯,D,清湯,D,,無
29,評估一個青少年的心理社會問題，在初期篩檢他的功能程度時，主要著重在那些面向？,遊戲技巧、整體發展、視覺動作技巧,社交能力、日常生活功能、時間運用,工作興趣、家務處理、財務管理,動作技巧、感覺處理、認知功能,B,社交能力、日常生活功能、時間運用,B,,無
