題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,原始答案,更正備註,圖片檔案
1,下列何者與眼睛緊閉有關？,皺眉肌（corrugator supercilii）,眼輪匝肌（orbicularis oculi）,顳肌（zyomaticus）,額肌（frontalis）,B,眼輪匝肌（orbicularis oculi）,B,,無
2,下列何者位於胸廓（thorax）的最外層？,肋間外肌（external intercostals）,肋間內肌（internal intercostals）,胸橫肌（transverse thoractis）,橫膈（diaphragm）,A,肋間外肌（external intercostals）,A,,無
3,下列何者不附著於肩胛骨（scapula）？,三角肌（deltoid）,喙肱肌（coracobrachial muscle）,肱二頭肌（biceps brachii）,前斜角肌（anterior scalene muscle）,D,前斜角肌（anterior scalene muscle）,D,,無
4,下列何者同時具有屈、伸上臂的功能？,胸大肌（pectoralis major）,喙肱肌（coracobrachial muscle）,闊背肌（latissimus dorsi）,三角肌（deltoid）,D,三角肌（deltoid）,D,,無
5,下列何者收縮時，不會牽動大腿在髖關節（hip joint）的運動？,腰小肌（psoas minor）,腰大肌（psoas major）,腰方肌（quadratus lumborum）,髂肌（iliac muscle）,C,腰方肌（quadratus lumborum）,C,,無
6,下列何者支配足背及小腿前面的肌肉？,腓淺神經（superficial fibular nerve）,腓深神經（deep fibular nerve）,脛神經（tibial nerve）,蹠外側神經（lateral plantar nerve）,B,腓深神經（deep fibular nerve）,B,,無
7,馬尾（cauda equina）不含下列何種脊神經根（dorsal root）？,胸（thoracic）,腰（lumbar）,薦（sacral）,尾（coccygeal）,A,胸（thoracic）,A,,無
8,下列何者與青光眼（glaucoma）最為相關？,角膜（cornea）,晶狀體（lens）,房水（aqueous humor）,玻璃體液（vitreous humor）,C,房水（aqueous humor）,C,,無
9,視網膜中具有密集視錐細胞（cone cell）的結構是下列何者？,視神經盤（optic disc）,脈絡膜（choroid）,中央小凹（fovea centralis）,鋸齒緣（ora serrata）,C,中央小凹（fovea centralis）,C,,無
10,下列何者不屬於眼球血管層（vascular layer）的構造？,角膜（cornea）,睫狀肌（ciliary body）,虹膜（iris）,脈絡膜（choroid）,A,角膜（cornea）,A,,無
11,硬腭（hard palate）是由上頜骨（maxilla）與下列何者構成？,額骨（frontal bone）,鼻骨（nasal bone）,篩骨（ethmoid bone）,腭骨（palatine bone）,D,腭骨（palatine bone）,D,,無
12,供應乳腺（mammary gland）的動脈來源不包括下列那一條動脈？,胸內動脈（internal thoracic artery）,胸外動脈（lateral thoracic artery）,胸肩峰動脈（thoracoacromial artery）,肩胛下動脈（subscapular artery）,D,肩胛下動脈（subscapular artery）,D,,無
13,下列何者位於喉最底部，且為氣管切開術（tracheotomy）的重要標記？,環狀軟骨（cricoid cartilage）,甲狀軟骨（thyroid cartilage）,楔狀軟骨（cuneiform cartilage）,杓狀軟骨（arytenoid cartilage）,A,環狀軟骨（cricoid cartilage）,A,,無
14,舌乳頭上不具味蕾的是：,絲狀乳頭（filiform papilla）,蕈狀乳頭（fungiform papilla）,葉狀乳頭（foliate papilla）,輪廓狀乳頭（vallate papilla）,A,絲狀乳頭（filiform papilla）,A,,無
15,下列胃的結構中，最靠近橫膈的是︰,賁門（cardia）,胃底（fundus）,幽門（pylorus）,胃體（body）,B,胃底（fundus）,B,,無
16,有關精囊（seminal vesicle）的敘述，下列何者正確？,位在前列腺（prostate）前方,由恥骨（pubis）後間隙和膀胱隔開,可以儲存精子,其管道和輸精管（ductus deferens）會合形成射精管（ejaculatory duct）,D,其管道和輸精管（ductus deferens）會合形成射精管（ejaculatory duct）,D,,無
17,下列何者為大腦皮質（cortex）掌控聽覺的主要區域？,額葉（frontal lobe）,頂葉（parietal lobe）,枕葉（occipital lobe）,顳葉（temporal lobe）,D,顳葉（temporal lobe）,D,,無
18,下列何者為平滑肌（smooth muscle）？,上直肌（superior rectus）,上斜肌（superior oblique）,上瞼板肌（superior tarsal muscle）,額肌（frontalis）,C,上瞼板肌（superior tarsal muscle）,C,,無
19,下列何者與眼球鞏膜（sclera）同層？,角膜（cornea）,視網膜（retina）,脈絡膜（choroid）,蜘蛛膜（subarachnoid）,A,角膜（cornea）,A,,無
20,有關於頭顱的敘述，下列何者錯誤？,顱骨（cranial bone）為保護腦部的骨骼,顏面骨（facial bones）可供顏面部肌肉附著,頭顱骨皆為實心骨骼組成具保護作用,腭骨（palatine）屬於顏面骨（facial bones）,C,頭顱骨皆為實心骨骼組成具保護作用,C,,無
21,有關胸骨（sternum）的敘述，下列何者錯誤？,胸骨角（sternal angle）和第4或5胸椎同一水平面,胸骨角（sternal angle）為第2肋軟骨接合處,劍胸關節（xiphisternal joint）可能位於第9胸椎水平高度,胸骨體（sternal body）兩側與第1至7肋軟骨相接,D,胸骨體（sternal body）兩側與第1至7肋軟骨相接,D,,無
