題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,圖片檔案
1,舌下神經管（hypoglossal canal）位於下列何骨？,顳骨（temporal bone）,蝶骨（sphenoid bone）,額骨（frontal bone）,枕骨（occipital bone）,D,枕骨（occipital bone）,無
2,下列何者不屬於舌骨下肌群（infrahyoid muscles）？,胸骨舌骨肌（sternohyoid muscle）,甲狀舌骨肌（thyrohyoid muscle）,頦舌骨肌（geniohyoid muscle）,肩胛舌骨肌（omohyoid muscle）,C,頦舌骨肌（geniohyoid muscle）,無
3,前臂屈肌主要是由下列何者支配？,尺神經（ulnar nerve）,橈神經（radial nerve）,腋神經（axillary nerve）,正中神經（median nerve）,D,正中神經（median nerve）,無
4,錐體（pyramid）內含有何種神經路徑？,皮質脊髓徑（corticospinal tract）,脊髓小腦徑（spinocerebellar tract）,脊髓丘腦徑（spinothalamic tract）,紅核脊髓徑（rubrospinal tract）,A,皮質脊髓徑（corticospinal tract）,無
5,拔牙時注射麻醉劑，主要是阻斷下列何神經？,三叉神經（trigeminal nerve）,面神經（facial nerve）,迷走神經（vagus nerve）,舌下神經（hypoglossal nerve）,A,三叉神經（trigeminal nerve）,無
6,有關神經纖維的敘述，下列何者正確？,無髓鞘神經纖維比有髓鞘神經纖維的衝動傳導速度快,神經纖維越粗，神經衝動的傳導速度越快,周邊神經纖維的髓鞘是由寡突神經膠細胞（oligodendrocyte）形成,無髓鞘神經纖維的衝動傳導是跳躍式傳導,B,神經纖維越粗，神經衝動的傳導速度越快,無
7,因神經受損而造成掌長肌（palmaris longus）癱瘓，下列何者最不可能受影響？,屈指淺肌（flexor digitorum superficialis）,對掌拇肌（opponens pollicis）,尺側屈腕肌（flexor carpi ulnaris）,橈側屈腕肌（flexor carpi radialis）,C,尺側屈腕肌（flexor carpi ulnaris）,無
8,眼球中扮演如同相機鏡頭角色的結構是下列何者？,視網膜（retina）,晶狀體（lens）,瞳孔（pupil）,角膜（cornea）,B,晶狀體（lens）,無
9,胎兒的臍動脈（umbilical artery）是下列何者的直接分支？,髂內動脈（internal iliac artery）,髂外動脈（external iliac artery）,髂總動脈（common iliac artery）,腹主動脈（abdominal artery）,A,髂內動脈（internal iliac artery）,無
10,位於聲帶間的空隙稱為：,喉室（ventricle of larynx）,聲門裂（rima glottidis）,喉入口（laryngeal inlet）,前庭（vestibular fold）,B,聲門裂（rima glottidis）,無
