題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,圖片檔案
1,兩位偏癱的中風個案在安靜空間比賽「聽到聲音先舉手者就贏了」，採三戰兩勝賽制。這個比賽除了聽力之外，以下那個表現技巧（performance skills）最不需要？,專注（attends）,注意（heeds）,反應（responds）,搜尋（searches）,D,搜尋（searches）,無
2,進行投籃活動時，個案可以站在合適的位置丟球，丟完之後可以將球撿回，並依照結果修正自己的動作與力量。此活動的敘述，比較沒有使用到下列那一種表現技巧（performance skills）？,位置（positions）,運輸（transports）,安排（organizes）,校正（calibrates）,C,安排（organizes）,無
3,職能治療師考量學齡孩童與家人都非常喜歡紙牌遊戲，因此讓家長利用隨手可得的紙盒，自創可以一到多人玩的紙牌遊戲，讓全家方便在家裡進行遊戲。根據此描述，比較沒有考量到下列那一個要素？,年紀（age）,信仰（beliefs）,價值（values）,社經地位（socioeconomic status）,B,信仰（beliefs）,無
4,自閉症的孩童常有固著的行為，例如洗手時會盯著水流，而無法完成洗手的任務。因此職能治療師訓練個案將注意力放在肥皂泡泡上，一邊洗手一邊唸口訣。根據上述主要在處理下列那一項職能型式（patterns of occupation）？,角色（roles）,習慣（habits）,常規（routines）,儀式（rituals）,B,習慣（habits）,無
5,進行活動分析時，下列何者不是針對姿勢（posture）的要素進行考量？,了解活動所需的平衡能力（balance）,了解活動所需的穩定性（stability）,了解活動所需的關節活動度（ROM）,觀察執行活動時的身體排列（alignment）,C,了解活動所需的關節活動度（ROM）,無
6,要能成功的與家庭成員合作有很多方式，但不包括下列何者？,尊重家庭的價值觀和信念,誠實且清楚的溝通,避免責罵的口氣或語句,說服家庭成員接受職能治療師所設立的治療目標,D,說服家庭成員接受職能治療師所設立的治療目標,無
7,下列何者最能有效率的執行以家庭為中心的照護（family-centered care）？,由單一職能治療師決定照護計畫內容,由多專業人員協調整合後與家庭成員決定照護計畫內容,由家庭中最常跟專業人員接觸的人決定照護計畫內容,由家中最年長的長輩決定照護計畫內容,B,由多專業人員協調整合後與家庭成員決定照護計畫內容,無
8,下列那一項屬於活動分析中安全與風險（safety hazards）之考量？,年長者家中使用全自動洗衣機，以簡化工作與節省體能,搭乘電梯時，當按錯樓層按鈕可以在久壓後取消,當沒有辦法親自料理準備午餐時，可以購買外食作為替代方式,艾倫認知層級四的個案進行烹飪團體時，要注意熱和電的使用,D,艾倫認知層級四的個案進行烹飪團體時，要注意熱和電的使用,無
9,有關職能和諧（occupational orchestration）的分析，下列描述何者最適當？,個案如何進行特定的職能活動,瞭解單一職能活動對個案生活品質的影響,個案如何參與及管理多個職能活動,瞭解那些活動不適合個案目前的能力,C,個案如何參與及管理多個職能活動,無
10,根據Jackson（1998）的辯證，角色（roles）在職能分析過程的功能，下列敘述何者最適宜？,個人需要扮演的職能角色是職能分析的出發點,以角色來了解執行職能活動的各種社會期待，因此可以幫助個人的職能表現達到社會期待,要了解一個人的職能角色，要從這個人的職能活動有那些，這些活動對這個人的意義開始,角色是一個比較具體、一般人容易了解的概念，所以是一個了解職能活動的捷徑,C,要了解一個人的職能角色，要從這個人的職能活動有那些，這些活動對這個人的意義開始,無
11,職能治療師應用「數獨」作為一般認知促進的治療性活動時，下列敘述何者最適當？,遵循職能分析原則，應該要從簡單的層次開始循序漸進到複雜層次，例如4×4到9×9,分析大家通常會如何進行數獨活動,職能治療師應該運用職能分析的技巧來分析,職能治療師所應用的臨床推理原則為敘事推理,B,分析大家通常會如何進行數獨活動,無
12,下列何者最符合職能活動（occupation）的概念？,在治療室練習進出浴缸,模擬填寫求職申請表,接小孩回家,練習疊積木,C,接小孩回家,無
13,職能治療師觀察巴金森氏症個案吃飯，發現個案用湯匙舀菜不太順暢，送菜入口時菜又一直掉在桌上，認為可能是由於手一直顫抖的原因。以上敘述屬於下列那種分析？,活動分析（activity analysis）,任務分析（task analysis）,表現分析（performance analysis）,身體功能分析（body function analysis）,B,任務分析（task analysis）,無
14,一位慢性精神疾患住進康復之家後，職能治療師為了提升個案的居住品質，想以在家感（at-homeness）進行分析與改造，於是在分析個案進行的每日職能活動後，透過符合個案身體活動需求的訓練與環境改造，以提升其職能活動的表現，上述做法為針對下列那一面向之分析？,根著感（rootedness）,主控感（appropriation）,安逸感（at-easeness）,重生感（regeneration）,A,根著感（rootedness）,無
15,進行橋牌遊戲時，通常不會訓練到下列那一種能力？,視知覺,前庭覺,決策能力,問題解決能力,B,前庭覺,無
16,對於即將進入小學且有進食困難的孩童，職能治療師觀察孩童吃一頓飯的姿勢、時間、地點與食量，評估在學校是否需要提供額外的協助。此職能治療師在確認下列那一個層級的問題？,身體結構（body structures）,身體功能（body functions）,活動及參與（activities and participation）,表現技巧（performance skills）,C,活動及參與（activities and participation）,無
17,五歲的小華很挑食，與同齡孩童比較起來，每餐食量皆較少。職能治療師評估之後，發現小華不喜歡活動，白天在幼稚園的活動量不足，加上書包常有零食，導致正餐攝取量少。根據上列評估敘述，沒有包含到下列那一個層級的評估？,習慣（habits）,常規（routines）,情境（context）,身體功能（body functions）,D,身體功能（body functions）,無
18,針對備餐的活動，以下那一個敘述符合職能範圍（occupational scale）的議題？,要思考從那一個時間點開始做分析，例如從家裡準備出門買菜開始或從進廚房開始準備餐點時,所需之認知功能與結構很多，要思考把重點放在那一面向來分析，例如要強調記憶力、執行功能或注意力,學者對於職能範圍的分析有一致的共識,區分職能分析與活動分析最好的方式,A,要思考從那一個時間點開始做分析，例如從家裡準備出門買菜開始或從進廚房開始準備餐點時,無
19,關於表現技巧（performance skills）和身體功能（body functions） 的比較，何者錯誤？,儘管身體功能有缺陷，仍有機會展現足夠的表現技巧,這兩者屬於不同的概念,身體功能是職能表現中可被觀察的最小單位,個案「無法打開」冰箱門是屬於表現技巧的描述；個案「肌力不足」是屬於身體功能的描述,C,身體功能是職能表現中可被觀察的最小單位,無
20,"根據職能治療實務架構（Occupational Therapy Practice Framework, OTPF, 2014），下列那些被歸類在個案因素（client factors）？①信念（beliefs） ②靈性（spirituality） ③身體功能（body functions） ④常規（routines）",①②③,①③④,②③④,①②④,A,①②③,無
21,關於集體式（collectivist）和個體式（individualist）社會的相互比較，下列何者錯誤？,前者較強調競爭；後者較重視合作,前者的家庭常為小孩做決策；後者的家庭讓小孩有較多機會為自己做決策,前者較重視團體規範；後者較提倡自我實現,前者成員間較互相依賴；後者成員彼此較獨立,A,前者較強調競爭；後者較重視合作,無
22,"下列何者不是職能治療實務架構（Occupational Therapy Practice Framework, OTPF, 2014）所定義的表現型式（performance patterns）範疇？",角色（roles）,常規（routines）,儀式（rituals）,價值（values）,D,價值（values）,無
