題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,原始答案,更正備註,圖片檔案
1,有關slouched posture容易伴隨發生之結構變化，下列敘述何者錯誤？,前位頭部（forward head）,胸椎後凸（kyphosis）,下胸椎的伸肌短縮,下腰椎的小面關節擠壓,C,下胸椎的伸肌短縮,C,,無
2,下列那些治療方法對於緊張性頭痛（tension headache）最為恰當？①放鬆頭直後大肌（rectus capitis posterior major） ②牽張頭長肌（longus capitis） ③訓練前鋸肌（serratus anterior）肌耐力；④訓練提肩胛肌（levator scapulae）肌耐力,①②,③④,①③,②④,C,①③,C,,無
3,有關下頜骨的前突與後縮（protrusion and retrusion of mandible），下列敘述何者錯誤？,若下頜骨前突幅度為7.5毫米，視為正常,當下頜骨前突時，下頜髁與關節間盤（articular disc）需同時向下向前移動,顳肌的後束（posterior fiber）可以使下頜骨後縮,當下頜骨完全後縮時，顳頜關節是處於最鬆弛的位置,D,當下頜骨完全後縮時，顳頜關節是處於最鬆弛的位置,D,,無
4,下列何者不是張嘴時顳頜關節發出喀啦（clicking）聲的可能原因？,顳頜關節之間盤障礙（derangement）,內翼肌（medial pterygoid）與外翼肌（lateral pterygoid）之間收縮不協調,顳頜關節之間盤前移,張嘴時的第一個喀啦聲是由於下頜髁通過顳頜關節之間盤後側,B,內翼肌（medial pterygoid）與外翼肌（lateral pterygoid）之間收縮不協調,B,,無
5,下列何者可直接判斷是否有Bakody's sign？,shoulder abduction（relief）test,shoulder depression test,ULTT4（upper limb tension tests₄）,brachial plexus tension test,A,shoulder abduction（relief）test,A,,無
6,下列何種測試是以症狀消失或是降低做為陽性的判斷標準？,頸椎壓迫測試（spurling test）,頸椎拉離測試（distraction test）,上臂神經張力測試（upper limb tension tests）,魯氏測試（Roos test）,B,頸椎拉離測試（distraction test）,B,,無
7,執行頸椎徒手牽引治療時，若希望縱向拉力能產生於C5-6及C6-7處，則病患的頸椎應擺在下列那個位置較佳？,頸部在後仰5度的位置,頸部屈曲至大約20度的位置,頸部屈曲至大約45度的位置,頸部在正中的位置,BC,頸部屈曲至大約20度的位置；頸部屈曲至大約45度的位置,C,第7題答Ｂ或Ｃ者均給分，第38題答Ｂ或Ｄ或BD者均給分，第48題答Ｂ或Ｄ或BD者均給分,無
8,有關胸椎關節鬆動術之後前向單側脊椎壓力（posteroanterior unilateral vertebral pressure）的敘述，下列何者正確？,對肋椎關節（costovertebral joint）產生較大的壓力,施測者的施力位置在棘突的頂端,對脊椎會造成旋轉的力量（rotary force）,施測者對脊椎施以一橫向力量,C,對脊椎會造成旋轉的力量（rotary force）,C,,無
9,根據Quebec揮鞭式創傷相關疾患任務小組（The Quebec Task Force on Whiplash Associated Disorders）使用準則，下列何者符合等級 II之臨床表徵敘述？,有客觀之神經學徵候，且可能出現脊髓徵候（spinal cord signs）,觸診時有壓痛點且頸椎有活動度降低，但無神經病變相關症狀,頸椎活動度正常，但核磁共振影像顯示椎間盤損傷,觸診時有壓痛點，但頸椎活動度正常且無神經病變相關症狀,B,觸診時有壓痛點且頸椎有活動度降低，但無神經病變相關症狀,B,,無
10,有關上交叉症候群（upper crossed syndrome）之敘述，下列何者正確？,過緊的提肩胛肌及胸小肌、無力的前鋸肌及頸部深層屈肌,過緊的提肩胛肌及前鋸肌、無力的胸小肌及頸部深層屈肌,過緊的胸大肌及頸部深層屈肌、無力的提肩胛肌及前鋸肌,過緊的胸小肌及前鋸肌、無力的提肩胛肌及頸部深層屈肌,A,過緊的提肩胛肌及胸小肌、無力的前鋸肌及頸部深層屈肌,A,,無
