題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,原始答案,更正備註,圖片檔案
1,在中風患者動作控制中，那一項姿勢控制異常最可能與預應性平衡控制（proactive balance control）的受損有關？,無法在突發干擾（如滑倒或絆倒）時進行即時步伐調整來恢復平衡,在轉彎或跨越障礙物前無法有效地調整姿勢或重心位置,在靜態站立中無法調節肌肉張力來維持平衡,在移動時受到推擠時，無法產生適當的平衡反應來維持姿勢,B,在轉彎或跨越障礙物前無法有效地調整姿勢或重心位置,B,,無
2,一位高齡患者在練習行走時，表現出全身僵硬、頭頸部與軀幹固定不動、雙手緊握扶手來維持平衡，以限制大部分關節自由度的方式執行動作。根據伯恩斯坦（Bernstein）對動作學習階段模型的分類方式，該患者最可能處於那一學習階段？,認知階段（cognitive stage）,初學者階段（novice stage）,聯合階段（associative stage）,進階階段（advanced stage）,B,初學者階段（novice stage）,B,,無
3,關於中樞神經可塑性與臨床功能恢復之敘述，下列何者錯誤？,針對特定任務加以重複訓練，以促進神經可塑性,透過干擾既存相似神經迴路的可塑性，可加速學習的效果以增加功能的恢復,中樞神經可塑性會受到年齡的影響，但是老化的大腦仍具可塑性,訓練的活動須是對患者有意義的活動，才能誘發較佳的中樞神經可塑性,B,透過干擾既存相似神經迴路的可塑性，可加速學習的效果以增加功能的恢復,B,,無
4,利用紅繩懸吊系統對病患進行仰臥橋式（supine bridging）運動訓練時，下列那一項敘述最不可能增加此項訓練的困難度？,寬懸吊帶（wide sling）往腳踝方向移動,懸吊點（suspension point）往頭的方向移動,在肩胛骨下放一個平衡墊（balance cushion）,將寬懸吊帶（wide sling）置換成兩條帶子（straps）,B,懸吊點（suspension point）往頭的方向移動,B,,無
5,關於中風病患手部動作恢復的狀況，何者的動作恢復能力較佳？,可以用患側手拿球,可以用患側大拇指和食指拿塑膠尺,可以用患側大拇指碰患側小指,可以用患側手抓握寶特瓶,C,可以用患側大拇指碰患側小指,C,,無
6,腦中風後偏癱側額頭部位出現輕觸覺異常，此現象與何對顱神經功能異常最相關？,三叉神經,外旋神經,顏面神經,舌咽神經,A,三叉神經,A,,無
7,針對無法獨立站立與行走的急性期腦中風患者，下列那一項訓練策略最適合用來促進其步行能力恢復？,高強度地面行走訓練,虛擬實境搭配無懸吊系統的跑步機訓練,電動機械式輔助步態訓練,功能性電刺激配合踝足矯具進行地面步行訓練,C,電動機械式輔助步態訓練,C,,無
8,下列那種坐姿起始位置最能增加中風病患從坐姿站起時的患側腳承重？,兩腳均先擺在膝蓋後方30公分,兩腳均先擺在膝蓋後方10公分,患側腳先擺在膝蓋後方20公分、健側腳在膝蓋正下方,健側腳先擺在膝蓋後方20公分、患側腳在膝蓋後方10公分,C,患側腳先擺在膝蓋後方20公分、健側腳在膝蓋正下方,C,,無
9,關於中風個案的心肺適能與有氧訓練，若使用跑步機做為介入工具，下列敘述何者正確？,因感覺功能缺損，不適合使用自覺用力係數（rating of perceived exertion）監控運動強度,不應允許個案使用扶手，因為如此將造成訓練強度不足,臨床上可使用2分鐘、6分鐘、12分鐘行走測試評估訓練效果,因為自律神經系統受損，心跳無法準確反映個案的運動反應,C,臨床上可使用2分鐘、6分鐘、12分鐘行走測試評估訓練效果,C,,無
10,左側偏癱的腦中風患者有下列何種姿勢時，宜採用推者症候臨床量表（clinical assessment scale for contraversive pushing）進行深入評估？,坐姿時有明顯的薦骨坐姿（sacral sitting）,站姿時主要以右下肢承重,有左側翼狀肩胛（scapula winging）,坐輪椅時身體緊靠在左側扶手上,D,坐輪椅時身體緊靠在左側扶手上,D,,無
11,關於創傷性腦傷後的失憶症，下列那些敘述正確？①對於過去發生的事完全不記得；②失憶結束時間的判斷以恢復連續性記憶為主；③傷後失憶時間大於一天者可能為中度腦傷；④瑞秋洛斯阿米哥斯認知功能程度量表可評量失憶的嚴重度,②③,①③,①③④,①②④,A,②③,A,,無
12,下列何者為譫妄（delirium）的典型症狀？,黃先生有時突然不認得自己所在的位置，長期失眠，對話時反應斷續且不連貫,陳太太經常重複詢問相同的問題，白天睡眠時間過長，情緒多為低落,李先生有時會突然不認得家人，睡眠時間混亂，與人交談時注意力容易分散,劉太太外出後經常找不到回家的路，長期失眠，情緒時而焦躁、時而穩定,C,李先生有時會突然不認得家人，睡眠時間混亂，與人交談時注意力容易分散,C,,無
13,有關顱內腫瘤之治療方式，下列敘述何者錯誤？,術前類固醇治療，可降低腦瘤附近組織的水腫現象,術後初期，使用抗凝血劑可避免血栓形成，減少腦部進一步的傷害,化學治療及放射線治療的副作用包含容易疲勞、嘔吐、皮膚灼熱感及難以進食,物理治療的主要目標為功能再訓練及照顧者的教育訓練,B,術後初期，使用抗凝血劑可避免血栓形成，減少腦部進一步的傷害,B,,無
14,前庭復健時，若在病人視線前方給予固定目標物，要求病人左右轉動頭部時，整個過程視線都要維持在目標物上，此運動及其目的為何？,眼球平滑追視（pursuit），調節前庭眼球反射（vestibulo-ocular reflex）,眼球平滑追視（pursuit），調節前庭頸部反射（vestibulo-collic reflex）,凝視（gaze），調節前庭眼球反射（vestibulo-ocular reflex）,凝視（gaze），調節前庭頸部反射（vestibulo-collic reflex）,C,凝視（gaze），調節前庭眼球反射（vestibulo-ocular reflex）,C,,無
