題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,圖片檔案
1,旋前圓肌（pronator teres）的近端附著點（proximal attachment）是下列那一個位置？,肱骨內上髁（medial epicondyle of humerus）,肱骨外上髁（lateral epicondyle of humerus）,橈骨頭（head of radius）,尺骨頭（head of ulna）,A,肱骨內上髁（medial epicondyle of humerus）,無
2,下列關於顱底（cranial floor）孔洞的敘述，何者錯誤？,舌下神經管（hypoglossal canal）位於枕骨（occipital bone）,破裂孔（foramen lacerum）由多塊顱骨圍合而成,腦幹透過枕骨大孔（foramen magnum）與脊髓相連,棘孔（foramen spinosum）位於顳骨（temporal bone）,D,棘孔（foramen spinosum）位於顳骨（temporal bone）,無
3,項線（nuchal line）位於下列何者？,下頜骨（mandible）,枕骨（occipital bone）,蝶骨（sphenoid bone）,顳骨（temporal bone）,B,枕骨（occipital bone）,無
4,下列何者屬於典型頸椎（typical cervical vertebrae）？,C1,C2,C6,C7,C,C6,無
5,關於檢查成人腦脊髓液時，常需要進行腰椎穿刺採樣（lumbar puncture）的敘述，下列何者正確？,脊髓圓椎（conus medullaris）位於L4的水平位置,髂嵴（iliac crest）左右兩者頂端連線的水平位置為L2,常於L3~L4間穿刺採樣,採樣時最常要病人採俯臥（prone）姿勢,C,常於L3~L4間穿刺採樣,無
6,下列何種肌肉組織不具有橫紋（striation）？,骨骼肌（skeletal muscle）,心肌（cardiac muscle）,平滑肌（smooth muscle）,紅肌（red muscle）,C,平滑肌（smooth muscle）,無
7,下列何者主要負責前引（protrude）下唇（lower lip）的動作？,笑肌（risorius）,頦肌（mentalis）,降口角肌（depressor anguli oris）,提上唇肌（levator labii superioris）,B,頦肌（mentalis）,無
8,下列關於腹壁肌肉的敘述，何者正確？,腹白線（linea alba）為腹直肌（rectus abdominis）的止端（insertion）,腱劃（tendinous intersection）為腹直肌（rectus abdominis）上的結構,主要功能為伸直脊柱，維持軀幹直立,只有腹外斜肌（external oblique）的腱膜（aponeurosis）會形成腹直肌鞘（rectus sheath）,B,腱劃（tendinous intersection）為腹直肌（rectus abdominis）上的結構,無
9,下列關於肩關節（shoulder joint）的敘述，何者錯誤？,是人體活動度最大的關節,鎖骨有參與形成關節面,是球窩關節（ball-and-socket joint）,主要由盂肱關節構成（glenohumeral joint）,B,鎖骨有參與形成關節面,無
10,下列關於髕上滑液囊（suprapatellar bursa）的敘述，何者正確？,主要協助提供膝關節腔（knee joint cavity）內硬骨養分,細菌感染可擴及到膝關節腔（knee joint cavity）,膝關節腔（knee joint cavity）空間大，積水發炎不易造成壓迫,不會延伸到股四頭肌（quadriceps femoris）下方,B,細菌感染可擴及到膝關節腔（knee joint cavity）,無
11,下列何種反應為交感神經興奮所引起？,勃起（erection）,瞳孔收縮（pupil constriction）,支氣管舒張（bronchial dilation）,胰液（pancreatic juice）分泌增加,C,支氣管舒張（bronchial dilation）,無
12,下列何者為自主神經系統（autonomic nervous system）的主要整合中樞？,網狀結構（reticular formation）,下視丘（hypothalamus）,邊緣系統（limbic system）,腦下腺（pituitary gland）,B,下視丘（hypothalamus）,無
13,下列何者不屬於腰神經叢（lumbar plexus）的分支？,髂腹下神經（iliohypogastric nerve）,閉孔神經（obturator nerve）,股外側皮神經（lateral femoral cutaneous nerve）,臀上神經（superior gluteal nerve）,D,臀上神經（superior gluteal nerve）,無
