題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,原始答案,更正備註,圖片檔案
1,Kielhofner提出執行（doing）包括三個層次，依涵蓋的廣度，從全面到基本，由上而下依序為何？①職能參與（occupational participation） ②職能技巧（occupational skill） ③職能表現（occupational performance）,①②③,①③②,③①②,③②①,B,①③②,B,,無
2,有關「促進兒童職能參考架構」之內涵，下列敘述何者錯誤？,"模式名稱為 the Synthesis of Child, Occupational, Performance and Environmental-In Time（SCOPE-IT）",關注工作、休息、日常生活活動及休閒或遊戲的平衡,強調個人在時間（temporal）、環境（environment）下所做之選擇與努力的重要性,其核心概念是源自於John Dewey所強調生活中日常節奏的平衡之觀點,D,其核心概念是源自於John Dewey所強調生活中日常節奏的平衡之觀點,D,,無
3,Prochaska（1995）提出人們產生改變可能經過四個階段，依時間順序由先至後排列，下列何者正確？,準備期－思考前期－思考期－行動期,思考前期－思考期－準備期－行動期,思考前期－準備期－思考期－行動期,準備期－思考前期－行動期－思考期,B,思考前期－思考期－準備期－行動期,B,,無
4,在「促進學習的四象限模式」中，由學習者起始的象限為何？,象限一、象限二,象限二、象限三,象限三、象限四,象限一、象限四,C,象限三、象限四,C,,無
5,參考架構的組成包含下列那些要素？①理論基礎；②功能－失能連續體；③評估指引；④有關改變的假說；⑤臨床實務的應用；⑥現象描述；⑦情境因素；⑧適用對象,①②③④⑤,①②⑤⑥⑦,③④⑥⑦⑧,②④⑤⑦⑧,A,①②③④⑤,A,,無
6,關於參考架構理論基礎，下列敘述何者正確？,理論是由同一個概念，不同特點的現象所組成,參考架構中的概念有特定的定義，使用者不得自行定義,理論假設等同於研究假設,參考架構參數主要以兒童特質與問題為主，無關乎服務提供模式,B,參考架構中的概念有特定的定義，使用者不得自行定義,B,,無
7,下列何者為關於改變的一般假說？,如果職能治療師針對某個孩童與環境提供特定的負增強，則較可能消除不當的行為,如果孩童獲得特定技巧且受到增強，則此技巧可能成為自我增強，並可以概化到其他場合,如果孩童在參與粗動作遊戲時，主動和他人起始社會互動就能得到外加的增強，則此孩童可能再起始互動,視覺區辨的發展可促進視覺空間技巧與視覺動作整合的發展,A,如果職能治療師針對某個孩童與環境提供特定的負增強，則較可能消除不當的行為,A,,無
8,治療腦性麻痺孩童時，職能治療師使用操作手法來改善其姿勢與動作平衡能力，隨後讓孩童坐在擺位椅上進行視知覺的桌面遊戲。上述活動中，治療師使用參考架構的方式不包括何者？,依序使用參考架構,平行使用參考架構,多重參考架構運用,合併使用參考架構,D,合併使用參考架構,D,,無
9,"關於實證實務（evidence-based practice, EBP）之應用，下列敘述何者正確？",只有隨機控制試驗的研究才能回答實務問題,EBP適合用作判斷服務品質的唯一典範（paradigm）,質性研究雖然提供個案觀點的豐富訊息但並不歸類在EBP中,EBP能協助職能治療師的臨床推理，將研究證據整合其中,D,EBP能協助職能治療師的臨床推理，將研究證據整合其中,D,,無
10,根據Mosey（1986）對「發展參考架構」與「獲得參考架構」的區別，下列敘述何者正確？,發展參考架構認為發展是階段式，但不是連續的,獲得參考架構中，學習是有順序且可累積的,發展參考架構認為技巧發展和年齡並不相關,獲得參考架構將行為分解，逐步練習再相互建構成複雜的技巧,D,獲得參考架構將行為分解，逐步練習再相互建構成複雜的技巧,D,,無
