題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,原始答案,更正備註,圖片檔案
1,美國職能治療學會於2017年所提出之百年展望，包含下列那些發展方向？①以實證為基礎；②符合社會需求；③多元化的工作團隊；④應用人工智慧於專業發展,②③④,①②④,①③④,①②③,D,①②③,D,,無
2,二次世界大戰對職能治療於生理復健領域的專業發展具深遠影響，此影響不包括下列那一項？,從利用手工藝活動做為治療媒介，轉型到重視身體功能的治療運動，例如NDT、肌力訓練等,當時復健目標為幫助退伍的失能軍人回歸社會及獨立生活為主，日常生活訓練及職業訓練等逐漸受到重視,義肢、輔具快速發展,失能者為爭取自主權，發起獨立生活運動,D,失能者為爭取自主權，發起獨立生活運動,D,,無
3,下列何項不是以個案為中心（client-centered）的職能治療之主要特色？,以社會所認定的職能活動為基礎，設定治療目標與計畫,致力於瞭解個案的感受、意圖和人生中的重要意義,與個案以合作的方式進行治療,願意進入個案的世界、建立關係，並鼓勵個案以對其本身最有意義的方式去改善生活,A,以社會所認定的職能活動為基礎，設定治療目標與計畫,A,,無
4,一位有姿勢控制障礙的個案，職能治療師建議其使用輪椅，但是該名個案依然期望自己可以獨立使用助行器行走。此時專業人員考量「個案是否有能力正確的判斷與拒絕醫學上的建議」，則其考量之內容較屬於下列那一項議題？,臨床議題,法律議題,倫理議題,道義議題,A,臨床議題,A,,無
5,真實（truthfulness）為職能治療核心價值與態度之一，下列敘述何者最能代表其意涵？,以公正及不偏心的態度對待所有個案,以負責、誠實及正確的行為表現並維持專業能力,具備同理心並且尊重每一個案之獨特性,尊重個案合法權利,B,以負責、誠實及正確的行為表現並維持專業能力,B,,無
6,下列何者不是影響1980～1999年間職能治療發展的重要人物？,Gary Kielhofner,Elizabeth Yerxa,Florence Clark,Ann Mosey,D,Ann Mosey,D,,無
7,「我對這位病患的評估與介入算是以職能為中心的執業嗎？」， 以上這位職能治療師對自己的疑問跟下列那一項哲學理論最相關？,本體論（ontology）,詮釋論（hermeneutics）,認識論（epistemology）,價值論（axiology）,D,價值論（axiology）,D,,無
8,職能治療師面對一個來自強調個人主義（individualistic societies）文化背景的個案應採取的措施，以下敘述何者最不適切？,所有的醫療決策皆與個案合議，讓他感受到自己的自主性,鼓勵個案為了恢復健康而應盡個人最大的努力,設定適合個案個別性目標以促使獨立性,強調以團隊眾人合作的方式促進對個案有效、安全的照護,D,強調以團隊眾人合作的方式促進對個案有效、安全的照護,D,,無
9,有關社區環境改造，下列敘述何者錯誤？,須留意現行政策或法律之最低規範標準,當環境改造不可行，仍可協助個案瞭解改造目標,應協助個案瞭解使用大眾運輸交通系統的障礙,以移除環境障礙為主要目標，而非社區參與度,D,以移除環境障礙為主要目標，而非社區參與度,D,,無
10,對於創傷性腦傷（traumatic brain injury）個案在以社區為基礎的職能治療介入的目標中，下列何者不屬於優先的考量？,個案可安排活動的時間,個案於生活情境中的獨立性,個案的人際關係,個案所在機構的鄰里喜好,D,個案所在機構的鄰里喜好,D,,無
11,有關影響職能表現的作法，下列敘述何者最不適切？,漸進式地調整治療室中桌椅等空間位置擺設之複雜度，以逐步降低自閉症兒童對於環境變化的接受度,將通用設計（universal design）應用於居家生活環境的規畫,提升個案的移動能力，擴展對物理空間的探索性，進而提升職能表現,重新安排住家傢俱的擺設、移除行走通道中的障礙物，有助於降低行走過程中發生跌倒的可能性,A,漸進式地調整治療室中桌椅等空間位置擺設之複雜度，以逐步降低自閉症兒童對於環境變化的接受度,A,,無
12,有關職能治療專業理念中，對於情境、文化因素之敘述，下列何者錯誤？,每種職能環境都會受到個人情境裡的物理、社會和文化因素影響,同時考慮個案的親人、朋友、社經地位和文化背景,因情境、文化因素不同，故治療師無法以「職能」為職能治療的專業核心概念,對職能的認知並非全球一致，會因地區文化而有差異,C,因情境、文化因素不同，故治療師無法以「職能」為職能治療的專業核心概念,C,,無
13,有關以家庭為中心的照護模式（family-centered care）須注重之原則，下列敘述何者錯誤？,採非侵入性,具高度敏感度,對個人揭露之隱私予以尊重,強調醫療專業權威性,D,強調醫療專業權威性,D,,無
14,職能治療師在學校系統中須與團隊成員討論完成學校環境與個案評估，並訂定個案每學期／年的介入目標與方式。此服務稱為：,Individualized treatment plan,Minimum data set,Individualized education program,Resource utilization groups,C,Individualized education program,C,,無
15,依據身心障礙者權益保障法施行細則之規定，進用身心障礙者義務機關（構），其進用身心障礙者之人數應以整數為計算標準。未達整數部分該如何處理？,無條件進位成整數,不予計入,由各地方衛生主管機關訂定標準,由進用機關（單位）決定,B,不予計入,B,,無
16,依據長期照顧服務法，身心失能者須持續或預期將持續身心失能多久才符合接受長期照護的資格？,三個月,六個月,一年,兩年,B,六個月,B,,無
17,轉學生如為身心障礙學生，應於入學後多久時間內完成個別化教育計畫之訂定？,一個月,三個月,六個月,一年,A,一個月,A,,無
18,依據我國的精神衛生法規定，下列有關精神疾病之敘述，何者錯誤？,精神疾病係指思考、情緒、知覺、認知、行為等精神狀態表現異常，致其適應生活之功能發生障礙，須給予醫療及照顧之疾病,反社會人格違常屬於一種嚴重精神疾病,酒癮及藥癮均為精神疾病,嚴重病人指病人呈現出與現實脫節之怪異思想及奇特行為，致不能處理自己事務，經專科醫師診斷認定者,B,反社會人格違常屬於一種嚴重精神疾病,B,,無
19,依據職能治療師法，若職能治療師（或職能治療生）將其證照租借他人使用者，將遭受到何種處分？,停止執業一年,停止執業兩年,廢止執業執照,廢止其職能治療師或職能治療生證書,D,廢止其職能治療師或職能治療生證書,D,,無
20,職能治療師公會全國聯合會之設立，應至少有多少比例之直轄市、縣（市）職能治療師公會完成組織後，始得發起組織？,二分之一,三分之一,四分之一,五分之一,B,三分之一,B,,無
