題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,圖片檔案
1,下列何者為促進肺淋巴流動最重要的因素？,血液黏稠度增加,呼吸過程中胸膜壓力（pleural pressure）變化,肺泡氣體壓力減少,肺血流量減少,B,呼吸過程中胸膜壓力（pleural pressure）變化,無
2,關於二氧化碳分壓值，下列何者正確？,海平面大氣中趨近於0 mmHg,肺泡中約150 mmHg,小動脈中約46 mmHg,混合靜脈血中約32 mmHg,A,海平面大氣中趨近於0 mmHg,無
3,你觀察到一個人在休息狀態下使用噘嘴吐氣的方式呼吸，下列那一個是最合理的猜測？,這是正常的呼吸方式,他有肺纖維化造成肺泡不易擴張的問題,他有氣道容易塌陷的問題,他有橫膈膜無力的問題,C,他有氣道容易塌陷的問題,無
4,關於6分鐘行走測試的敘述，下列何者正確？,此測試可直接評估個體的最大運動能力,測試過程中，一旦受試者需要停下休息，測試即結束,此測試適合作為所有族群運動訓練的成效評估工具，包含健康大學生,6分鐘走路距離小於300公尺為心肺疾病患者死亡率的一個預測指標,D,6分鐘走路距離小於300公尺為心肺疾病患者死亡率的一個預測指標,無
5,體位引流的原理，下列何者錯誤？,利用姿勢變化將節支氣管立於最垂直的位置，以重力幫助痰液移動的方法,因呼吸性細支氣管之下的氣道無纖毛，無法靠纖毛將痰液拍動至更近端的氣道，因此在呼吸性細支氣管之下的氣道無法利用纖毛拍動痰液到更近端的氣道,因細支氣管之下的氣道無軟骨，咳嗽產生之壓力會壓扁細支氣管，因此在細支氣管之下的氣道無法利用咳嗽將痰液咳出,左右兩肺不對稱的引流姿勢是下葉頂支,D,左右兩肺不對稱的引流姿勢是下葉頂支,無
6,慢性阻塞性肺疾病患者，其運動不耐與肺部相關的因素，何者較不可能？,吐氣氣流限制（expiratory flow limitation）,運動過程中出現動態肺部過度充氣（dynamic hyperinflation）,通氣灌流不平衡,橫膈肌長度過長，收縮不易,D,橫膈肌長度過長，收縮不易,無
7,52歲張先生已長期抽菸30年，被診斷罹患末期慢性阻塞性肺疾病，一年前因呼吸衰竭住院，長期臥床且接受氣切依賴呼吸器維生，直到今年終於等到合適的肺臟，2週後要進行肺臟移植手術。下列關於張先生的物理治療計畫或注意事項，何者最適合？,因長期臥床，術前執行運動的計畫只需加強伸展，避免關節攣縮（joint contracture）,手術後初期可特別加強上肢肌力，待體能恢復後，再加強下肢（例如：股四頭肌）的肌力,術後門診時期，若病人的運動耐力突然降低，可能是感染或排斥的早期徵兆，應知會移植團隊醫師,住院期間進行運動，若血氧飽和濃度下降可能為排斥的第一徵兆，應立即補充氧氣並終止物理治療的運動計畫，待病患不需氧氣補充，且能維持血氧穩定時再進行運動,C,術後門診時期，若病人的運動耐力突然降低，可能是感染或排斥的早期徵兆，應知會移植團隊醫師,無
8,正常老年人隨年紀增加，呼吸和循環參數的變化，下列何者錯誤？,休息時肺活量會降低,休息時血管阻力降低,最大心率會降低,最大攝氧量會降低,B,休息時血管阻力降低,無
9,關於心臟血管疾病患者飲食之建議，下列何者正確？,"低活動量的人，每日之熱量攝取不應高於3,000卡",高鹽飲食，防止血壓過低,高膽固醇飲食，以補充身體能量不足,應多食纖維含量高的食物,D,應多食纖維含量高的食物,無
10,有關心電圖電軸偏左（left axis deviation）的可能原因，下列敘述何者錯誤？,嚴重高血壓,左心室肥厚,下壁心肌梗塞,左後小束半阻斷（left posterior hemi-block）,D,左後小束半阻斷（left posterior hemi-block）,無
11,有關心衰竭，下列敘述何者錯誤？,左心室射出率（left ventricular ejection fraction）為評估心臟功能之指標,高血壓與冠狀動脈疾病為心衰竭之重要原因,端坐呼吸（orthopnea）是右心室衰竭之臨床指標,後負荷增加會降低心衰竭患者之心搏量（stroke volume）,C,端坐呼吸（orthopnea）是右心室衰竭之臨床指標,無
12,男性60歲，具血脂異常、高血壓以及糖尿病病史，因心絞痛接受心導管檢查，檢查結果顯示，冠狀動脈左主幹（left main）約有75％狹窄，下列何種治療建議最為適當？,加強使用藥物治療,心導管氣球擴張術,心導管氣球擴張術並合併使用裸金屬支架,冠狀動脈繞道手術,D,冠狀動脈繞道手術,無
