題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,圖片檔案
1,旋轉袖肌（rotator cuff）不包括下列何者？,肩胛下肌（subscapularis）,大圓肌（teres major）,小圓肌（teres minor）,棘下肌（infraspinatus）,B,大圓肌（teres major）,無
2,下列何者動作與背部豎脊肌（erector spinae muscle）最不相關？,維持軀幹直立姿勢,伸展脊柱,協助呼吸,軀幹側向彎曲,C,協助呼吸,無
3,下列關於肋骨（rib）的敘述，何者錯誤？,第一至第七肋骨為真肋（true rib）,第八與第九肋骨為假肋（false rib）,第十肋骨為浮肋（floating rib）,第十一肋骨只與一個脊椎椎體形成關節面,C,第十肋骨為浮肋（floating rib）,無
4,下列那一塊頭骨不含副鼻竇（paranasal sinus）？,蝶骨（sphenoid bone）,額骨（frontal bone）,篩骨（ethmoid bone）,下頜骨（mandible）,D,下頜骨（mandible）,無
5,下列何者不構成眼眶（orbit）？,額骨（frontal bone）,鼻骨（nasal bone）,蝶骨（sphenoid bone）,上頜骨（maxillary bone）,B,鼻骨（nasal bone）,無
6,下列那一塊肌肉與吞嚥動作最不相關？,二腹肌（digastric muscle）,舌骨舌肌（hyoglossus）,莖舌肌（styloglossus）,翼肌（pterygoids）,D,翼肌（pterygoids）,無
7,下列何者對穩定髖關節的幫助最小？,髂股韌帶（iliofemoral ligament）,髖臼唇（acetabular labrum）,恥骨肌（pectineal muscle）,股骨頭韌帶（ligament of the head of the femur）,D,股骨頭韌帶（ligament of the head of the femur）,無
8,下列關於軟骨關節（cartilaginous joint）的敘述，何者錯誤？,不具關節腔，骨頭間以軟骨相連,第一肋骨與胸骨（sternum）之間的關節屬於此種關節,骨骺板（epiphyseal plate）屬於此種關節,包括軟骨聯合（synchondrosis）及韌帶聯合（syndesmoses）,D,包括軟骨聯合（synchondrosis）及韌帶聯合（syndesmoses）,無
9,負責踝關節背屈（dorsiflexion of ankle joint）的肌肉，主要是受下列何神經支配？,腓淺神經（superficial fibular nerve）,腓深神經（deep fibular nerve）,脛神經（tibial nerve）,外蹠神經（lateral plantar nerve）,B,腓深神經（deep fibular nerve）,無
10,下列關於次級骨化中心（secondary ossification center）的敘述，何者錯誤？,是出生前骨頭生長的主要地點,次級骨化中心位於骨骺（epiphysis）內,內含有骨骺血管（epiphyseal vessel）,內含有軟骨細胞（chondrocyte）,A,是出生前骨頭生長的主要地點,無
11,延髓（medulla oblongata）藉由下列何者與小腦連接？,上小腦腳（superior cerebellar peduncle）,中小腦腳（middle cerebellar peduncle）,下小腦腳（inferior cerebellar peduncle）,錐體（pyramid）,C,下小腦腳（inferior cerebellar peduncle）,無
12,下列關於交感神經（sympathetic nerve）與副交感神經（parasympathetic nerve）分系的敘述，何者錯誤？,交感神經分系又稱為胸腰分系（thoracolumbar division）,副交感神經的神經節（parasympathetic ganglion）靠近所支配的內臟器官,交感神經的節後神經短；副交感神經的節後神經長,副交感神經分系所有軸突皆釋放乙醯膽鹼（acetylcholine）,C,交感神經的節後神經短；副交感神經的節後神經長,無
13,下列何者不屬於副交感神經節？,耳神經節（otic ganglion）,下頜下神經節（submandibular ganglion）,膝狀神經節（geniculate ganglion）,睫狀神經節（ciliary ganglion）,C,膝狀神經節（geniculate ganglion）,無
14,下列何者受損，會導致小腿無法伸展（extension of leg）？,坐骨神經（sciatic nerve）,閉孔神經（obturator nerve）,股神經（femoral nerve）,脛神經（tibial nerve）,C,股神經（femoral nerve）,無
15,下列何者不屬於頸神經叢（cervical plexus）的分支？,橫頸神經（transverse cervical nerve）,鎖骨上神經（supraclavicular nerve）,耳大神經（great auricular nerve）,枕大神經（greater occipital nerve）,D,枕大神經（greater occipital nerve）,無
16,脊髓背側白質（dorsal white column）受損，最容易影響到下列那一條路徑與功能？,背柱內側蹄系徑（dorsal column-medial lemniscal tract）：身體溫度及痛覺,背柱內側蹄系徑（dorsal column-medial lemniscal tract）：身體觸覺及本體感覺,背側脊髓小腦徑（dorsal spinocerebellar tract）：身體觸覺及本體感覺,背側脊髓小腦徑（dorsal spinocerebellar tract）：身體溫度及痛覺,B,背柱內側蹄系徑（dorsal column-medial lemniscal tract）：身體觸覺及本體感覺,無
17,下列咽部肌肉何者不是由迷走神經（vagus nerve）支配？,莖突咽肌（stylopharyngeus）,上咽縮肌（superior pharyngeal constrictor）,中咽縮肌（middle pharyngeal constrictor）,下咽縮肌（inferior pharyngeal constrictor）,A,莖突咽肌（stylopharyngeus）,無
18,中樞神經系統中，具有吞噬功能的最主要細胞為何？,星狀細胞（astrocyte）,寡樹突膠質細胞（oligodendrocyte）,小膠質細胞（microglia）,許旺細胞（Schwann cell）,C,小膠質細胞（microglia）,無
19,下列脊髓周邊空間，何者是腦脊髓液的循流處？,蛛網膜下腔（subarachnoid space）,硬膜外腔（epidural space）,硬膜下腔（subdural space）,軟膜下腔（subpia space）,A,蛛網膜下腔（subarachnoid space）,無
20,下列那個腦區與體溫調節最相關？,視丘（thalamus）,下視丘（hypothalamus）,上丘腦（epithalamus）,橋腦（pons）,B,下視丘（hypothalamus）,無
21,下列何者主要參與對聲音的反射（reflexive response to sound）？,下丘（inferior colliculus）,上丘（superior colliculus）,動眼核（oculomotor nucleus）,紅核（red nucleus）,A,下丘（inferior colliculus）,無
22,下列何者不支配旋轉袖肌（rotator cuff）？,肩胛上神經（suprascapular nerve）,腋神經（axillary nerve）,肩胛下神經（subscapular nerve）,肩胛背神經（dorsal scapular nerve）,D,肩胛背神經（dorsal scapular nerve）,無
23,下列何種舌乳頭（lingual papillae）分布最廣且具有味覺接受器（gustatory receptor）？,蕈狀乳頭（fungiform papillae）,輪廓乳頭（vallate papillae）,葉狀乳頭（foliate papillae）,絲狀乳頭（filiform papillae）,A,蕈狀乳頭（fungiform papillae）,無
24,眼球之睫狀體（ciliary body）可產生下列那一種物質釋入後房（posterior chamber）？,玻璃體液（vitreous humor）,血液（blood）,房水（aqueous humor）,內淋巴液（endolymph）,C,房水（aqueous humor）,無
