題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,圖片檔案
1,兒童坐在桌前，桌上放著10個2吋寬的積木。兒童連續疊高所有積木的過程中，最不需要用到下列何項表現技巧？,抬起（lifts）,校正（calibrates）,運輸（transports）,抓握（grips）,C,運輸（transports）,無
2,個案80歲，有心臟病史，因中風導致慣用側右側偏癱，目前僅右手手肘可主動彎曲抬至約胸口高度，可獨立坐穩但無法行走，職能治療師建議下列之處置，何者最不適當？,馬桶旁加裝扶手,給予高強度下肢肌力訓練以促進動作復原,訓練左手代替右手進行使用餐具訓練,訓練單手穿褲技巧,B,給予高強度下肢肌力訓練以促進動作復原,無
3,個案25歲，因車禍導致右手橈骨遠端粉碎性骨折且傷及橈神經，無傷及腦部，手術3週後職能治療師進行職能分析（occupational analysis）時，下列敘述何者最不需要考慮？,受傷前的工作內容,一般性穿脫衣物所需的技巧,受傷前所從事之休閒活動,評估其右手關節活動度,B,一般性穿脫衣物所需的技巧,無
4,個案65歲，半年前因頭部外傷造成嚴重記憶損傷，其餘功能正常，職能治療師欲改善其日常職能活動表現，下列建議何者最不適當？,利用撲克牌遊戲訓練記憶功能,將衣櫃依衣物類型貼上標籤,在智慧型手機設置定時提醒,在廚房貼上步驟提醒,A,利用撲克牌遊戲訓練記憶功能,無
5,50歲個案半年前診斷為思覺失調症，打羽球是他過去常進行的重要職能活動之一，下列何項討論內容適用於職能和諧分析（analysis of occupational orchestration）？,分析打羽球時所用到的身體功能與表現技巧,分析打羽球活動常見之所需物品與情境,分析參與復健工作坊、照顧小孩、打羽球的時間分配與執行順序,分析打羽球時的社交表現，找出表現不佳的項目,C,分析參與復健工作坊、照顧小孩、打羽球的時間分配與執行順序,無
6,職能治療師想了解居家長者自己準備早餐的職能表現，因此進行職能表現分析，其步驟先後順序何者最適當？①觀察長者實際準備早餐的過程並記錄；②列出所有效率不佳的表現技巧；③將個案待改善的表現技巧加以分群，並摘要描述個案的問題與表現品質；④對個案的表現技巧逐項評分,①②④③,③②④①,①④②③,④②③①,C,①④②③,無
7,在早晨的自我照顧日常活動中，下列何者不是個案有效的情緒（affect）功能表現？,自動自發完成刷牙的任務,在換穿衣褲的過程，情緒快速切換與起伏數次,不小心打翻漱口杯數次，仍完成自行刷牙的任務,花費較長時間解開鈕扣，但過程沒有不耐煩的神情,B,在換穿衣褲的過程，情緒快速切換與起伏數次,無
8,回家時常會將車鑰匙掛在大門旁的掛勾上，以方便出門時拿取，此行為最符合下列何種表現型式（performance patterns）？,角色（roles）,常規（routines）,儀式（rituals）,習慣（habits）,D,習慣（habits）,無
9,職能治療師與來自個人主義社會（individualistic societies）文化之個案互動時，最不適合採用下列那一種反應？,努力與個案和其親友建立信任感,鼓勵個案為自己的復元健康努力,訂定個人化目標以達到其獨立性,與個案合作並讓其參與所有決定,A,努力與個案和其親友建立信任感,無
10,下列何者不屬於通用設計（universal design）的原則？,"簡單直覺使用性（simple, intuitive use）",資訊可見性（perceptible information）,無差錯性（errorless）,低耗能性（low physical effort）,C,無差錯性（errorless）,無
