題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,原始答案,更正備註,圖片檔案
1,職能治療師對於手傷個案處置，應以下列何者為最終目標？,增加關節活動度,增進肌肉力量,進行感覺再教育,改善職能表現,D,改善職能表現,D,,無
2,王先生是C7脊髓損傷的個案，但仍希望每天外出賣彩券以自食其力，下列何者最適當？,建議個案使用手推輪椅，以維持肌力,建議個案使用電動輪椅，以增加行動力,訓練使用助行器及穿戴支架外出賣彩券,建議個案請人幫他推輪椅，以方便外出,B,建議個案使用電動輪椅，以增加行動力,B,,無
3,林先生是一位慣用右手的國中數學老師，中風後造成右側偏癱，無法用右手拿湯匙吃飯，但可以拿柺杖走路至少30分鐘。下列項目為林先生的工作內容，若林先生仍然慣用右手，何者最可能出現問題？①搭捷運上下班；②依照課表時間到各班教室上課；③上課時站在講台前，用粉筆將課程內容寫在黑板上；④下課走回辦公室休息；⑤參加教務、學務、親師等會議；⑥在辦公室批改作業；⑦在辦公室吃便當；⑧約學生或家長懇談,①②④,②④⑥,③⑥⑦,⑤⑦⑧,C,③⑥⑦,C,,無
4,操作物件時，可以平穩且順利地使用手與手腕動作。此定義最符合下列那一種表現技巧（performance skills）？,流暢（flows）,抬起（lifts）,穩定（stabilizes）,握穩（handles）,A,流暢（flows）,A,,無
5,個案聽不懂職能治療師的指示時，會進一步確認問題以澄清指示。此狀況最符合下列那一種表現技巧（performance skills）？,起始（initiates）,詢問（inquires）,反應（responses）,搜尋（searches）,B,詢問（inquires）,B,,無
6,三歲的唐氏症個案，其發展年齡為一歲半。職能治療師提供樂高玩具的活動，要求個案找一樣顏色與大小的樂高，仿疊一座高樓大廈。個案拿到樂高之後，會雙手各拿一個互敲；約一到兩分鐘之後就想玩別的遊戲，沒有出現仿疊的動作，多以弄倒或拆開的方式玩樂高。職能治療師應該最先調整下列那一個元素？,個案的注意力不佳，應先進行注意力訓練,個案的認知能力不足，應提供需要較少認知的活動,個案的感覺處理能力弱，應先提供感覺活動,個案的精細動作差，應多練習雙側協調,B,個案的認知能力不足，應提供需要較少認知的活動,B,,無
7,三歲的小明很容易跌倒，平衡能力不佳。職能治療師建議家長帶小明走沙灘比在治療室內更能訓練下列那一種表現技巧（performance skills）？,穩定（stabilizes）,排列（aligns）,彎曲（bends）,移動（moves）,A,穩定（stabilizes）,A,,無
8,小明在學習寫新的生字時有困難，尤其是無法抄寫黑板上的生字，但抄寫課本上的生字表現較佳。若是已經會寫的字，則沒有上述問題。此個案最不會有下列那一個要素的問題？,選擇性注意力,長期記憶,短期記憶,視覺知覺,B,長期記憶,B,,無
9,下列那些是職能治療常考量的身體結構（body structures）因素？①神經系統；②皮膚；③性別；④內分泌系統；⑤聲音及語言；⑥動作相關結構；⑦認知功能；⑧心血管系統,①③④⑤⑧,②④⑤⑥⑦,①②④⑥⑧,①②⑥⑦⑧,C,①②④⑥⑧,C,,無
10,當個案無法正確的穿好外套，最可能是下列那些身體功能（body functions）出了問題？①視覺空間處理（visuospatial processing）缺失；②肩關節活動度減少；③情緒調節（emotional regulation）困難；④腳部感覺喪失；⑤注意力下降,①②④,②③④,①②⑤,①④⑤,C,①②⑤,C,,無
