題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,圖片檔案
1,在中風患者動作控制中，那一項姿勢控制異常最可能與反應性平衡控制的受損有關？,在進行跨越障礙物時，無法準確調整步行速度與抬腳高度,在靜態站立時，無法維持重心於支撐底面積內，導致姿勢不穩定,在平坦地面行走時，步伐長度與步頻明顯降低，導致行走速度減慢,在面對突發性姿勢干擾時，無法進行即時的透過代償跨步恢復平衡,D,在面對突發性姿勢干擾時，無法進行即時的透過代償跨步恢復平衡,無
2,下列何者不是小腦病變常見的動作控制問題？,不規則的動作軌跡,意向性震顫,僵直,低肌肉張力,C,僵直,無
3,關於兩點區辨（two-point discrimination）檢查，下列敘述何者錯誤？,可檢測結合皮質感覺（combined cortical sensation）,正常指尖測試結果約在6公釐以下,兩點區辨與慢速適應的感覺受器較相關,若出現異常，與大腦頂葉受損有關,C,兩點區辨與慢速適應的感覺受器較相關,無
4,對於紅繩懸吊運動的敘述，下列何者錯誤？,透過懸吊系統分擔病患體重，可降低治療師輔助時的負荷,僅能執行開鍊運動，無法執行閉鎖鍊運動,可以讓病患擺位在放鬆及舒適的姿勢下做運動,可作為初步功能觀察或動作控制評估之輔助,B,僅能執行開鍊運動，無法執行閉鎖鍊運動,無
5,關於使用修正版艾許沃斯氏量表（modified Ashworth scale）與塔爾迪氏量表（Tardieu scale）進行肌張力評估，下列敘述何者最為適當？,修正版艾許沃斯氏量表主要用來評估患者肌肉痙攣程度，塔爾迪氏量表主要用來評估患者肌張力過低程度,以塔爾迪氏量表評估時，患者的肢體須主動動作,修正版艾許沃斯氏量表不可用來區分肌肉內在剛性增加，或神經性牽拉反射過強造成的阻力增加,在有關節攣縮情況的患者，修正版艾許沃斯氏量表有最佳的肌張力評估精準度,C,修正版艾許沃斯氏量表不可用來區分肌肉內在剛性增加，或神經性牽拉反射過強造成的阻力增加,無
6,關於中風個案之肌力評估常用的肌力評估指數（motricity index），下列敘述何者正確？,滿分100，最低分是0，在坐姿下即可施測,僅評估患側上下肢近端之大肌群,上肢與下肢有不同加權分數,僅適合急性期個案使用,A,滿分100，最低分是0，在坐姿下即可施測,無
7,根據布朗斯壯分期，患側能夠執行何種動作代表手部運動功能復原較佳？,拇指獨立動作,手指整體抓握,拇指側握食指,球狀抓握,A,拇指獨立動作,無
8,下列那一治療學派的手法屬於神經誘發療法（neurofacilitation approaches）？,玻巴斯學派（Bobath approach）,動作再學習學派（motor relearning program）,任務導向學派（task-oriented approach）,肌肉再教育學派（muscle reeducation approach）,A,玻巴斯學派（Bobath approach）,無
9,根據任務導向模式評估原則，下列那一個敘述最不符合其概念？,應評估個案在執行功能性動作時所採用的動作策略,應了解個案機能損傷狀況,任務導向模式評估主要針對個人及任務兩個層面進行分析，環境不是評估重點,任務導向模式評估有助擬定個案的治療目標與治療計畫,C,任務導向模式評估主要針對個人及任務兩個層面進行分析，環境不是評估重點,無
10,讓中風患者一天中的16小時皆使用患側手來執行日常生活活動，這種訓練方式比較貼近下列那個臨床治療模式及其相對應之理論基礎？,本體感覺神經肌肉誘發模式－解剖學理論,任務導向模式－系統理論,本體感覺神經肌肉誘發模式－反射鏈理論,任務導向模式－肌肉再教育理論,B,任務導向模式－系統理論,無
11,依據圖中裝置的臨床應用，下列何者最可能為治療目標？,增加肩膀與手肘動作的主動控制能力與協調性,降低肩關節感覺敏感度以減輕疼痛反應,培養患者對手部形狀與觸覺的辨識能力,進行上肢被動牽拉以改善被動關節活動度,A,增加肩膀與手肘動作的主動控制能力與協調性,images/Q11_圖.png
12,使用功能性電刺激來改善腦中風病患垂足的問題時，最常刺激的肌肉群為何？其臨床使用目的為何？,刺激脛前肌與腓骨長肌，協助踝關節背屈以改善擺動期的足尖拖地問題,刺激腓骨長肌，協助產生足外翻以改善著地期的足內翻問題,刺激股二頭肌與脛後肌，以減少膝關節在著地期的過度伸直,刺激脛前肌與腓骨長肌，協助踝關節背屈肌離心收縮以利腳掌著地,A,刺激脛前肌與腓骨長肌，協助踝關節背屈以改善擺動期的足尖拖地問題,無
13,單側中大腦動脈出血或阻塞，最有可能出現何種症狀？,對側肢體感覺喪失,步態失用（gait apraxia）,對側偏癱且下肢較上肢嚴重,雙顳側偏盲（bitemporal hemianopia）,A,對側肢體感覺喪失,無
14,評估個案認知能力時，若詢問個案「紅茶和咖啡都是飲品，那麼『桌子 』和『椅子』的共同之處是什麼？」，所測驗的是認知功能中的那一個面向？,判斷力（judgement）,定向感（orientation）,抽象思考（abstract thinking）,工作記憶（working memory）,C,抽象思考（abstract thinking）,無
15,下列那一節損傷的個案應不會出現逆行呼吸（paradoxical breathing）現象？①C4 ②C7 ③T1 ④T10,①②③④,僅②③④,僅③④,僅④,D,僅④,無
16,關於脊髓損傷患者輪椅的選擇，何者適合C6完全性脊髓損傷患者？,一定要配置輪椅仰躺或傾倒功能才能協助坐姿減壓,手動輪椅可以配置梅花輪（pegged pushrim）來協助推行,手動低背競速型輪椅，較容易達到孤輪（wheelie）等控制,用吹吸進行非比例型控制電動輪椅，效率較高,B,手動輪椅可以配置梅花輪（pegged pushrim）來協助推行,無
17,一位40歲男性因車禍造成頸部骨折傷害，後續轉至物理治療部門進行評估與治療，經評估該患者左側上下肢之肌力為5分，但溫痛覺喪失；右側上下肢肌力為0分，但溫痛覺正常，該患者最有可能是下列何種脊髓損傷？,前髓症候群,後髓症候群,中髓症候群,布朗－斯夸症候群,D,布朗－斯夸症候群,無
18,關於脊髓損傷後發生自主神經反射異常之敘述，下列何者錯誤？,經常發生在脊髓損傷部位高於T6以上之患者,通常伴隨低血壓,有頭痛與臉部潮紅現象,常由於脊髓損傷部位以下之不正常刺激，引發交感神經的過度興奮,B,通常伴隨低血壓,無
19,林小姐，28歲，因車禍導致輕微創傷性腦傷，目前能獨立在家中及社區內行走，但當同時交談或尋找物品時，經常會暫停或明顯減慢步行速度，下列那一項治療最能改善此問題？,安排逐步提高速度與時間的跑步機訓練,在跑步機行走訓練時，同時大聲朗讀或回憶資訊,進行站姿平衡能力訓練，如站立於軟墊或會晃動的平衡板上,著重高強度的下肢肌力與步行速度訓練,B,在跑步機行走訓練時，同時大聲朗讀或回憶資訊,無
20,關於進行性上眼神經核麻痺症（progressive supranuclear palsy）症狀之敘述，下列何者正確？,患者在疾病初期即會影響眼球動作，尤其左右方向的動作受限比上下方向更顯著,患者會有明顯的軀幹僵硬症狀，於疾病早期就很容易跌倒,服用左多巴藥物可顯著改善症狀，且藥效至少可良好維持5年以上,動作症狀皆由單側肢體開始，才進展到雙側肢體,B,患者會有明顯的軀幹僵硬症狀，於疾病早期就很容易跌倒,無
21,下列那一種溝通方法最不適合用來幫助中度阿茲海默症患者克服溝通與記憶障礙？,採用手寫板，將要表達的話寫在上面,採用簡單、單一步驟的對話或指引,採用「是」與「否」的方法詢問個案,採用視、聽、觸覺的輔助,C,採用「是」與「否」的方法詢問個案,無
22,一位35歲女性被診斷為多發性硬化症，她表示每次在炎熱的夏季或洗熱水澡後，都會造成視力模糊、疲倦或肢體無力等症狀，症狀通常在體溫降低後會自行緩解，此狀況為何？,Uhthoff現象,Babinski反射,Lhermitte徵象,Hoffmann徵象,A,Uhthoff現象,無
23,多發性硬化症最主要的病理機制為何？,神經傳導物質過度釋放,周邊神經退化導致傳導異常,中樞神經系統的髓鞘被免疫系統攻擊,腦血流量減少導致神經細胞死亡,C,中樞神經系統的髓鞘被免疫系統攻擊,無
24,有關多發性硬化症，下列敘述何者正確？①主要是影響大腦皮質；②流行病學顯示發病率男性多於女性；③可使用皮質類固醇治療其急性發作；④運動治療之原則為避免疲勞，在疲勞之前就應停止運動,①②③④,僅②③④,僅③④,僅②④,C,僅③④,無
25,有關顏面神經麻痺所造成的臉部連帶運動（facial synkinesis）之敘述，下列何者正確？,是指在臉部休息不動時患處肌肉會出現抽動現象,神經肌肉再訓練方式可能有預防與治療效果,如果是周邊性顏面神經麻痺造成，神經傳導測試經常是陽性,實證顯示肉毒桿菌素A之治療效果不佳,B,神經肌肉再訓練方式可能有預防與治療效果,無
