題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,原始答案,更正備註,圖片檔案
1,脊髓損傷個案常見的併發症中，「立即讓個案躺下，或透過輪椅後傾功能，將頭擺位至低於心臟高度」是對那一個問題之處理方式？,自主反射異常（autonomic dysreflexia）,姿勢性低血壓（orthostatic hypotension）,痙攣（spasticity）,深層靜脈栓塞（deep vein thrombosis）,B,姿勢性低血壓（orthostatic hypotension）,B,,無
2,一位腦中風個案患側上肢無主動動作且肌肉張力鬆弛（flaccid），職能治療師首先誘發患側手肘屈曲動作（elbow flexion），希望個案產生屈曲協同動作（flexor synergy），而使得肌肉張力增加。此治療師最有可能依據下列那一個治療理論？,動態系統理論（dynamic systems theory）,本體神經肌肉誘發（proprioceptive neuromuscular facilitation）,玻巴斯動作發展治療（Bobath approach）,布朗斯壯動作治療（Brunnstrom's Movement Therapy）,D,布朗斯壯動作治療（Brunnstrom's Movement Therapy）,D,,無
3,一名個案的病歷記錄其改良版愛許瓦式痙攣量表（modified Ashworth Scale for Grading Spasticity）的等級為2，請問其臨床表現最可能為下列何者？,個案肌肉張力過高，且肢體持續屈曲或伸直狀態,個案肌肉張力過高，給予牽張反射測試時，會於大部分的關節活動範圍感到阻力，但肢體仍可輕易被移動,個案肌肉張力過高，給予牽張反射測試時，會於末段關節活動範圍感到阻力，但肢體仍可輕易被移動,個案肌肉張力過高，給予牽張反射測試時，會於大部分的關節活動範圍感到阻力，且肢體不易被移動,B,個案肌肉張力過高，給予牽張反射測試時，會於大部分的關節活動範圍感到阻力，但肢體仍可輕易被移動,B,,無
4,職能治療師發現一名多發性硬化症（Multiple Sclerosis）個案無法站立洗澡，因此建議其使用浴椅。這樣的調整活動需求，最符合下列那一項？,空間需求（space demands）,社會需求（social demands）,活動順序（sequencing）,物件使用（object used）,D,物件使用（object used）,D,,無
5,一名個案出現靜止性顫抖（resting tremor）、急促步態（festinating gait）、動作徐緩（bradykinesia）等症狀，下列何者最可能為其功能失常的解剖部位？,小腦,基底核,大腦皮質,腦幹,B,基底核,B,,無
6,職能治療師依據個案診斷，進行研究文獻的搜尋，並參考中風臨床治療與服務準則，建議個案可接受上肢機器輔助治療，此歷程是屬於何種臨床推理？,敘事推理（Narrative reasoning）,實用推理（Pragmatic reasoning）,程序推理（Procedural reasoning）,情境推理（Conditional reasoning）,C,程序推理（Procedural reasoning）,C,,無
7,下列何者不屬於遠距醫療或遠距健康的服務型態？,個案到輔具中心租用輪椅回家使用,治療師使用視訊會議和個案進行討論,個案於居家使用虛擬遊戲訓練，治療師定期電話聯繫個案，瞭解其進展,民眾使用穿戴式手環量測心跳等數值，再將數據經網路傳給治療師,A,個案到輔具中心租用輪椅回家使用,A,,無
8,居家職能治療師教導一名中風個案在家中單手穿衣的方法，以促進個案於家中穿衣服的表現。此治療師所運用的教學原則，最符合下列那一項？,立即回饋（immediate feedback）,嬰兒失憶（infantile amnesia）,語音迴路（phonological loop）,編碼特定原則（encoding specificity）,D,編碼特定原則（encoding specificity）,D,,無
9,職能治療師評估某腦中風病人之動作控制能力，將其短期目標訂為站立肌群之肌肉張力正常化。這種思考，較屬於那一種臨床推理？,科學推理（scientific reasoning）,敘事推理（narrative reasoning）,實用推理（pragmatic reasoning）,倫理推理（ethical reasoning）,A,科學推理（scientific reasoning）,A,,無
10,針對職能表現的介入，下列何者錯誤？,由個案最重視或認為受影響最大的部分及活動開始,治療目標由個案與治療師共同訂定,家屬或照顧者亦須與個案一同做調整,當受損的職能要素達到最高程度的恢復時，治療便可結束,D,當受損的職能要素達到最高程度的恢復時，治療便可結束,D,,無
11,某個案由於退化性關節炎之影響導致職能上出現失能狀況，治療師依其狀況安排多項治療策略，下列何項策略符合「以職能為目的（occupation-as-end）」之精神？,製作手部副木，以減輕疼痛等不適症狀,訓練個案如何使用穿衣輔具，來完成獨立著裝,加重生活物品重量，來訓練上肢主要肌群肌力,使用彈力帶（elastic band），藉由阻力性活動來增加肌力,B,訓練個案如何使用穿衣輔具，來完成獨立著裝,B,,無
12,測量膝關節屈曲（knee flexion）的主動關節活動度時，下列敘述何者不適當？,個案可以採取仰躺（supine）或俯臥（prone）的姿勢進行測量,不論採取何種測量姿勢，量角器的軸心皆是對準股骨外上髁（lateral epicondyle of the femur）的位置,在測量過程中，為了確認個案是否動作確實，治療師應在個案完成動作後再推推看是否不能動之後，再進行測量,個案若採仰躺姿勢，過程中會伴隨髖關節屈曲（hip flexion）的動作,C,在測量過程中，為了確認個案是否動作確實，治療師應在個案完成動作後再推推看是否不能動之後，再進行測量,C,,無
13,有關測量關節活動度的敘述，下列何者最不適切？,一般而言，被動關節活動度會稍微大於主動關節活動度,對於剛移除石膏的個案，在測量主動關節活動度之前可先進行熱敷，避免個案測量過程中的不適感,主動協助性關節活動度（active assistive range of motion）為常用的關節活動度測量方式之一,對於全身衰弱的個案，建議可先使用功能性活動進行篩檢，再進行關節活動度的測量,C,主動協助性關節活動度（active assistive range of motion）為常用的關節活動度測量方式之一,C,,無
14,關於頸椎關節活動度測量的敘述，下列何者最不適切？,頸椎的動作可以使用捲尺測量，也可以使用量角器測量,頸椎的動作通常較難準確的測量，因為骨性標誌（bony landmark）較少，且軟組織多覆蓋在骨骼上方,頸椎關節活動度的測量姿勢多半是採坐姿和站姿,頸椎屈曲跟伸展的正常關節活動度皆為0～60度,D,頸椎屈曲跟伸展的正常關節活動度皆為0～60度,D,,無
15,有關侷限誘發動作療法（constraint-induced movement therapy）的敘述，下列何者錯誤？,多強調單側肢體的活動,可廣泛應用於各種不同偏癱程度的中風患者,可避免習得廢用症（learned nonuse）的產生,強調迫用患側肢體，侷限健側肢體,B,可廣泛應用於各種不同偏癱程度的中風患者,B,,無
16,有關老化引起的認知功能改變，在魏氏智力測驗的表現方面，下列敘述何者正確？,操作智商（performance IQ）與使用新資訊能力有關，故較依賴流體智力（fluid intelligence），且亦隨老化而衰退,語文智商（verbal IQ）與社會文化經驗有關，故較依賴流體智力（fluid intelligence），且較不受老化影響,語文智商（verbal IQ）較操作智商（performance IQ）隨老化而有較大的衰退,操作智商（performance IQ）與語文智商（verbal IQ）兩者維持與中年時一樣，沒有變化,A,操作智商（performance IQ）與使用新資訊能力有關，故較依賴流體智力（fluid intelligence），且亦隨老化而衰退,A,,無
17,有關職能治療對老年個案之評估原則，下列敘述何者錯誤？,建議評估職能剖面圖（occupational profile）及職能活動表現,建議評估方式採取以個案為中心，由下而上（bottom-up）的評估模式,建議可使用加拿大職能表現評量（The Canadian Occupational Performance Measure）與個案會談，共同建立治療目標,建議評估時亦須考量會影響個案執行職能活動的各種情境,B,建議評估方式採取以個案為中心，由下而上（bottom-up）的評估模式,B,,無
18,有關臨床吞嚥評估，下列敘述何者錯誤？,評估前治療師應先確定個案具有完整軟顎反射行為（palatal reflex）及排痰性咳嗽（productive cough）產生,評估口腔動作控制力不佳之個案，治療師應從稀薄液體開始測試，可將吸入性風險降至最低,評估中樞神經系統受損之個案，建議採用軟性食物（soft food），因軟性食物較泥狀食物（pureed food）濃稠，可促進誘發吞嚥反應,評估個案對液體的吞嚥能力，建議可從較濃稠的液體開始，接著是半濃稠的液體，最後是稀薄液體,B,評估口腔動作控制力不佳之個案，治療師應從稀薄液體開始測試，可將吸入性風險降至最低,B,,無
