題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,原始答案,更正備註,圖片檔案
1,促進美國職能治療專業發展的社會運動，不包括下列何者？,道德治療運動（moral treatment）,手工藝運動（Arts and Crafts Movement）,復健運動（rehabilitation movement）,個人主權運動（personal rights movement）,D,個人主權運動（personal rights movement）,D,,無
2,Gary Kielhofner倡導回歸職能，有關他的敘述，下列何者正確？①所發展的人類職能模式（Model of Human Occupation）是職能治療中具實證基礎的實務模式之一；②曾為Mary Reilly的研究所學生；③藉由投入社區參與研究，以降低臨床和學術間差距,僅②③,僅①②,僅①③,①②③,D,①②③,D,,無
3,提出職能行為參考架構（occupational behavior frame of reference），呼籲回歸職能，以抗衡當時職能治療過度重視由神經發展理論主導實務的現象，為下列那一位學者？,Jean Ayres,Lorna Jean King,Berta Bobath,Mary Reilly,D,Mary Reilly,D,,無
4,在第一次世界大戰結束及第二次世界大戰發生之前（西元1920～1939年），有關職能治療專業的進展，包含下列那幾項？①美國職能治療學會成立；②建立課程認證標準；③重建助理的產生；④由於小兒麻痺的流行，職能治療開始教導病患如何使用義肢,①③,①②,②④,③④,B,①②,B,,無
5,有關職能治療之各種理論模式中，下列那些強調環境因素？①人類職能模式（Model of Human Occupation） ②職能調適（Occupational Adaptation） ③人類表現生態模式（Ecology of Human Performance model） ④人－環境－職能－表現模式（Person-Environment-Occupation-Performance model）,僅①②③,僅③④,僅①②④,①②③④,D,①②③④,D,,無
6,泰國的職能治療師使用騎大象的活動提升自閉症兒童的適應與溝通技巧，此例子最能反映下列那一項當代治療原則？,以家庭為中心（family-centered practice）,文化相關的實務（culturally relevant practice）,以個案為中心（client-centered practice）,職能可以是方法也可以是目的,B,文化相關的實務（culturally relevant practice）,B,,無
7,職能治療人員在傳播專業相關資訊時，指出同業的貢獻是符合倫理中何種規範原則？,慈善（beneficence）,正義（justice）,忠誠（fidelity）,自主（autonomy）,C,忠誠（fidelity）,C,,無
8,職能治療師在個案治療結束後，仍持續免費的提供副木修改，以確保個案能良好的配戴副木達到治療目標，這個例子最能代表下列那一項專業倫理原則？,慈善（beneficence）,忠誠（fidelity）,正義（justice）,自主（autonomy）,A,慈善（beneficence）,A,,無
9,有關以家庭為中心（family-centered）的治療原則，下列敘述何者最不適當？,適用於各年齡層,家屬是最了解個案的人，是決策過程的夥伴,是以職能治療專業知識為主，提供臨床介入的模式,Individuals with Disabilities Education Act of 1990有助於衍生出此原則,C,是以職能治療專業知識為主，提供臨床介入的模式,C,,無
10,美國對於精神疾患個案之社區介入，下列敘述何者最不適當？,須配合目前的健康照護體系，改以縮短急性住院時程的規範,當住院的個案轉為以接受密集性日間照護，介入調整為以個案離開醫院、準備進入社區為目標,支持性就業（supported employment）乃是提供個案回歸競爭性職場前一個有利的支持環境,促進個案回歸社區的介入模式，不包含支持性教育（supported education）,D,促進個案回歸社區的介入模式，不包含支持性教育（supported education）,D,,無
11,有關現今全球健康狀態的年齡不平等（age inequalities）現象，下列何者錯誤？,年齡是罹病率的高危險因子,年齡是死亡率的最重大危險因子,越高齡的社會，疾病盛行率不一定越高,認為較高齡的應徵者比較沒有生產力，是一種年齡歧視,C,越高齡的社會，疾病盛行率不一定越高,C,,無
12,在家中執行的職能活動下列何者屬於共同職能（co-occupation）？,孫子每天找時間清理腦中風長輩的便桶,兒子每天下班後用輪椅推著母親去附近公園繞一圈,媽媽每天晚上烹煮晚餐,爸爸半夜查詢網路規劃全家的日本旅遊,B,兒子每天下班後用輪椅推著母親去附近公園繞一圈,B,,無
13,全球職能治療師在使用下列那些介入模式或取向時，該介入模式或取向較強調文化與價值觀的影響？①人類職能模式；②生物力學參考架構；③路得（Rood）介入手法；④人－環境－職能－參與模式,①②,③④,②③,①④,D,①④,D,,無
14,"根據布隆費布瑞納（Bronfenbrenner, 2005）的生物生態理論模式（Bioecological Model），下列敘述何者正確？",家庭是屬於中間系統（mesosystem）,宗教是屬於微觀系統（microsystem）,社會情境是屬於外部系統（exosystem）,社區是屬於鉅觀系統（macrosystem）,ABCD,家庭是屬於中間系統（mesosystem）；宗教是屬於微觀系統（microsystem）；社會情境是屬於外部系統（exosystem）；社區是屬於鉅觀系統（macrosystem）,A,第14題一律給分,無
15,個案家長提出，希望為18歲、智能障礙且症狀穩定的女兒，找到可以離家居住並訓練生活技能的地方。身為治療師的你，比較適合提供他那一種類的資訊？,小型作業所,康復之家,精神專科醫院病房,社區復健中心,B,康復之家,B,,無
16,「為居住在家中病況穩定的長期精神病患，提供生活作息訓練，並強化其在社會上的歸屬感」。此為職能治療師在何種場域的常見服務？,精神護理之家,日間型精神復健機構,住宿型精神復健機構,團體家屋,B,日間型精神復健機構,B,,無
17,職能治療所應有醫師開具之診斷、照會或醫囑，始得接受病人施行職能治療。當醫師開具之資料未載明有施行期間者，自醫師開具之日至少屆滿多久失效？,1個月,2個月,3個月,6個月,C,3個月,C,,無
18,有關職能治療所之收費標準，下列敘述何者正確？,由直轄市、縣（市）主管機關核定,由衛生福利部統一訂定,由負責人考量市場行情後自行決定,與當地復健科診所收費標準一致,A,由直轄市、縣（市）主管機關核定,A,,無
19,依據職能治療所設置標準之規定，職能治療所得與其他領有開業執照之醫事機構聯合設置於同一場所，使用共同設施、設備，分別執行醫事業務。此條款所謂之共同設施、設備，並不包括下列何項？,醫事人員紀錄之保存空間,招牌,醫療廢棄物之處理設施,衛教空間,D,衛教空間,D,,無
20,職能治療師停業或歇業時，應自事實發生之日起最多幾日以內，報請原發執業執照機關備查？,15日,30日,45日,60日,B,30日,B,,無
21,依據醫事人員執業登記及繼續教育辦法之規定，那幾項是醫事人員執業，應接受之繼續教育課程類型？①專業課程；②專業品質；③專業倫理；④專業諮商；⑤專業流程管控；⑥專業相關法規,①②③⑤,①④⑤⑥,②③④⑤,①②③⑥,D,①②③⑥,D,,無
22,身心障礙者對障礙鑑定及需求評估有異議者，依據身心障礙者權益保障法之規定，下列敘述何者錯誤？,應於收到通知書之次日起六十日內，以書面向直轄市、縣（市）主管機關提出申請重新鑑定及需求評估,提出申請重新鑑定及需求評估以一次為限,申請重新鑑定及需求評估，應自行負擔百分之四十之相關作業費用；其異議成立者，應退還之,逾期申請重新鑑定及需求評估者，其相關作業費用，應自行負擔,A,應於收到通知書之次日起六十日內，以書面向直轄市、縣（市）主管機關提出申請重新鑑定及需求評估,A,,無
23,依據特殊教育法及其施行細則，下列何者不屬於「特殊教育相關人員」？,普通班教師,教師助理員,特教學生家長,特教學生助理人員,C,特教學生家長,C,,無
24,有關精神疾病病人強制社區治療之敘述，下列何者錯誤？,強制社區治療期間，不得逾六個月,經專科醫師診斷有延長強制社區治療之必要時，經審查會許可後，每次延長以六個月為限,成癮物質篩檢是強制社區治療的項目之一,復健治療是強制社區治療的項目之一,B,經專科醫師診斷有延長強制社區治療之必要時，經審查會許可後，每次延長以六個月為限,B,,無
25,關於人類職能模式（Model of Human Occupation）中的個人歸因（personal causation），下列敘述何者最適切？,個體行為效力的客觀指標,歸屬於表現能力要素,涉及自我省思的過程,直接影響日常例行生活模式的因素,C,涉及自我省思的過程,C,,無
26,人類職能模式（Model of Human Occupation）提供數個治療性策略讓職能治療師使用。在介入過程中，治療師關注並認可個案的經驗是使用那一個策略？,輔導（coaching）,確認（validating）,架構（structuring）,協商（negotiating）,B,確認（validating）,B,,無
27,職能（occupation）之定義，與下列那一個概念最不相關？,目標導向（goal directed）,具有意義（meaning）,多重任務（multiple tasks）,使用物件（object use）,D,使用物件（object use）,D,,無
28,有關健康促進（health promotion）的敘述，下列何者錯誤？,「健康」包含身、心、社會的安適感,「健康促進」是指為達成個案、組織或社會的健康目標之作為,「安適感」是健康促進的重要成果指標之一,職能治療師以服務個案為主，不適合去參與組織或社會層次的介入,D,職能治療師以服務個案為主，不適合去參與組織或社會層次的介入,D,,無
